industry	workflow	failure	diagnosis	evidence_gathering	decision	correction	approval	resubmission	closure	actual_operational_behavior	candidate_relevance
Federal Reserve banks, credit intermediation, and related activities	Account and Loan Onboarding	Account and Loan Onboarding cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Federal Reserve banks, credit intermediation, and related activities	Deposit and Payment Operations	Deposit and Payment Operations cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Federal Reserve banks, credit intermediation, and related activities	Credit Underwriting and Servicing	Credit Underwriting and Servicing cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Federal Reserve banks, credit intermediation, and related activities	Risk and Compliance Monitoring	Risk and Compliance Monitoring cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Federal Reserve banks, credit intermediation, and related activities	Collections and Loss Mitigation	Collections and Loss Mitigation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Federal Reserve banks, credit intermediation, and related activities	Account and loan onboarding; collections	Account and loan onboarding; collections cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Federal Reserve banks, credit intermediation, and related activities	Execution monitoring and operational coordination	Execution monitoring and operational coordination cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Federal Reserve banks, credit intermediation, and related activities	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Federal Reserve banks, credit intermediation, and related activities	Supplier, vendor, or partner onboarding and compliance	Supplier, vendor, or partner onboarding and compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Federal Reserve banks, credit intermediation, and related activities	Customer, participant, or stakeholder communication and escalation	Customer, participant, or stakeholder communication and escalation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Federal Reserve banks, credit intermediation, and related activities	Exception, dispute, and recovery handling	Exception, dispute, and recovery handling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Hospitals	Access, Admissions, and Throughput Management	Access, Admissions, and Throughput Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Hospitals	Clinical Documentation	Clinical Documentation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Hospitals	Care Coordination and Order Management	Care Coordination and Order Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Hospitals	Billing, Claims, and Collections	Billing, Claims, and Collections cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Hospitals	Payer Contract Management	Payer Contract Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Hospitals	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Hospitals	Supplier, vendor, or partner onboarding and compliance	Supplier, vendor, or partner onboarding and compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Hospitals	Customer, participant, or stakeholder communication and escalation	Customer, participant, or stakeholder communication and escalation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Hospitals	Compliance, reporting, and audit support	Compliance, reporting, and audit support cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Hospitals	Exception, dispute, and recovery handling	Exception, dispute, and recovery handling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Food and beverage and tobacco products	Demand Planning	Demand Planning cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage and tobacco products	Material Sourcing	Material Sourcing cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage and tobacco products	Production Planning and Process Control	Production Planning and Process Control cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage and tobacco products	Regulatory Labeling and Compliance	Regulatory Labeling and Compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage and tobacco products	Distribution and Trade Promotion	Distribution and Trade Promotion cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Food and beverage and tobacco products	Lead, intake, and qualification management	Lead, intake, and qualification management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage and tobacco products	Billing, settlement, and close	Billing, settlement, and close cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Food and beverage and tobacco products	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage and tobacco products	Customer, participant, or stakeholder communication and escalation	Customer, participant, or stakeholder communication and escalation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Food and beverage and tobacco products	Exception, dispute, and recovery handling	Exception, dispute, and recovery handling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Other services, except government	Lead Intake and Scheduling	Lead Intake and Scheduling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other services, except government	Workforce Scheduling and Dispatch	Workforce Scheduling and Dispatch cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other services, except government	Field Service Execution	Field Service Execution cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other services, except government	Billing and Payment Processing	Billing and Payment Processing cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Other services, except government	Customer Retention and Repeat Service	Customer Retention and Repeat Service cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other services, except government	Lead, intake, and qualification management	Lead, intake, and qualification management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other services, except government	Supplier, vendor, or partner onboarding and compliance	Supplier, vendor, or partner onboarding and compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other services, except government	Compliance, reporting, and audit support	Compliance, reporting, and audit support cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other services, except government	Exception, dispute, and recovery handling	Exception, dispute, and recovery handling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Securities, commodity contracts, and investments	Client Onboarding and KYC	Client Onboarding and KYC cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Securities, commodity contracts, and investments	Portfolio and Order Management	Portfolio and Order Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Securities, commodity contracts, and investments	Trade Execution and Settlement	Trade Execution and Settlement cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Securities, commodity contracts, and investments	Risk and Compliance Surveillance	Risk and Compliance Surveillance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Securities, commodity contracts, and investments	Investor Reporting and Performance	Investor Reporting and Performance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Securities, commodity contracts, and investments	Trade execution, settlement, and books-and-records exceptions	Trade execution, settlement, and books-and-records exceptions cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	MERGE->W-004
Securities, commodity contracts, and investments	Lead, intake, and qualification management	Lead, intake, and qualification management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Securities, commodity contracts, and investments	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Securities, commodity contracts, and investments	Supplier, vendor, or partner onboarding and compliance	Supplier, vendor, or partner onboarding and compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Chemical products	Material Sourcing	Material Sourcing cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Chemical products	Production Planning and Process Control	Production Planning and Process Control cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Chemical products	Quality, Safety, and Environmental Management	Quality, Safety, and Environmental Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Chemical products	Order Management and Fulfillment	Order Management and Fulfillment cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Chemical products	Contract and Margin Management	Contract and Margin Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
