industry	workflow	manual_work	duplicate_entry	spreadsheets	emails	reconciliation	document_gathering	approvals	coordination	blocked_work	revenue_leakage	delayed_cash	compliance_burden	investigation	status_chasing	operational_friction	pain_summary
Other services, except government	Lead Intake and Scheduling	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Lead Intake and Scheduling still depends on manual coordination and exception handling inside the other services, except government workflow stack.
Other services, except government	Workforce Scheduling and Dispatch	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce Scheduling and Dispatch still depends on manual coordination and exception handling inside the other services, except government workflow stack.
Other services, except government	Field Service Execution	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Field Service Execution still depends on manual coordination and exception handling inside the other services, except government workflow stack.
Other services, except government	Billing and Payment Processing	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Billing and Payment Processing still depends on manual coordination and exception handling inside the other services, except government workflow stack.
Other services, except government	Customer Retention and Repeat Service	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer Retention and Repeat Service still depends on manual coordination and exception handling inside the other services, except government workflow stack.
Other services, except government	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the other services, except government workflow stack.
Other services, except government	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the other services, except government workflow stack.
Other services, except government	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the other services, except government workflow stack.
Other services, except government	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the other services, except government workflow stack.
Securities, commodity contracts, and investments	Client Onboarding and KYC	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Client Onboarding and KYC still depends on manual coordination and exception handling inside the securities, commodity contracts, and investments workflow stack.
Securities, commodity contracts, and investments	Portfolio and Order Management	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Portfolio and Order Management still depends on manual coordination and exception handling inside the securities, commodity contracts, and investments workflow stack.
Securities, commodity contracts, and investments	Trade Execution and Settlement	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Trade Execution and Settlement still depends on manual coordination and exception handling inside the securities, commodity contracts, and investments workflow stack.
Securities, commodity contracts, and investments	Risk and Compliance Surveillance	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Risk and Compliance Surveillance still depends on manual coordination and exception handling inside the securities, commodity contracts, and investments workflow stack.
Securities, commodity contracts, and investments	Investor Reporting and Performance	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Investor Reporting and Performance still depends on manual coordination and exception handling inside the securities, commodity contracts, and investments workflow stack.
Securities, commodity contracts, and investments	Trade execution, settlement, and books-and-records exceptions	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Trade execution, settlement, and books-and-records exceptions still depends on manual coordination and exception handling inside the securities, commodity contracts, and investments workflow stack.
Securities, commodity contracts, and investments	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the securities, commodity contracts, and investments workflow stack.
Securities, commodity contracts, and investments	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the securities, commodity contracts, and investments workflow stack.
Securities, commodity contracts, and investments	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the securities, commodity contracts, and investments workflow stack.
Chemical products	Material Sourcing	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Material Sourcing still depends on manual coordination and exception handling inside the chemical products workflow stack.
Chemical products	Production Planning and Process Control	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Production Planning and Process Control still depends on manual coordination and exception handling inside the chemical products workflow stack.
Chemical products	Quality, Safety, and Environmental Management	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Quality, Safety, and Environmental Management still depends on manual coordination and exception handling inside the chemical products workflow stack.
Chemical products	Order Management and Fulfillment	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Order Management and Fulfillment still depends on manual coordination and exception handling inside the chemical products workflow stack.
Chemical products	Contract and Margin Management	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Contract and Margin Management still depends on manual coordination and exception handling inside the chemical products workflow stack.
Chemical products	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the chemical products workflow stack.
Chemical products	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the chemical products workflow stack.
Chemical products	Customer, participant, or stakeholder communication and escalation	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer, participant, or stakeholder communication and escalation still depends on manual coordination and exception handling inside the chemical products workflow stack.
Chemical products	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the chemical products workflow stack.
Data processing, internet publishing, and other information services	Infrastructure Capacity Planning	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Infrastructure Capacity Planning still depends on manual coordination and exception handling inside the data processing, internet publishing, and other information services workflow stack.
Data processing, internet publishing, and other information services	Product and Content Release Management	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Product and Content Release Management still depends on manual coordination and exception handling inside the data processing, internet publishing, and other information services workflow stack.
Data processing, internet publishing, and other information services	Customer Acquisition and Onboarding	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer Acquisition and Onboarding still depends on manual coordination and exception handling inside the data processing, internet publishing, and other information services workflow stack.
Data processing, internet publishing, and other information services	Usage Billing and Monetization	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Usage Billing and Monetization still depends on manual coordination and exception handling inside the data processing, internet publishing, and other information services workflow stack.
Data processing, internet publishing, and other information services	Reliability and Security Operations	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Reliability and Security Operations still depends on manual coordination and exception handling inside the data processing, internet publishing, and other information services workflow stack.
Data processing, internet publishing, and other information services	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the data processing, internet publishing, and other information services workflow stack.
Data processing, internet publishing, and other information services	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the data processing, internet publishing, and other information services workflow stack.
Data processing, internet publishing, and other information services	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the data processing, internet publishing, and other information services workflow stack.
Data processing, internet publishing, and other information services	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the data processing, internet publishing, and other information services workflow stack.
Data processing, internet publishing, and other information services	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the data processing, internet publishing, and other information services workflow stack.
Broadcasting and telecommunications	Network Planning and Capital Management	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Network Planning and Capital Management still depends on manual coordination and exception handling inside the broadcasting and telecommunications workflow stack.
Broadcasting and telecommunications	Service Provisioning and Activation	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Service Provisioning and Activation still depends on manual coordination and exception handling inside the broadcasting and telecommunications workflow stack.
Broadcasting and telecommunications	Content and Service Operations	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Content and Service Operations still depends on manual coordination and exception handling inside the broadcasting and telecommunications workflow stack.
Broadcasting and telecommunications	Billing and Collections	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Billing and Collections still depends on manual coordination and exception handling inside the broadcasting and telecommunications workflow stack.
Broadcasting and telecommunications	Outage and Regulatory Management	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Outage and Regulatory Management still depends on manual coordination and exception handling inside the broadcasting and telecommunications workflow stack.
Broadcasting and telecommunications	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the broadcasting and telecommunications workflow stack.
Broadcasting and telecommunications	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the broadcasting and telecommunications workflow stack.
Broadcasting and telecommunications	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the broadcasting and telecommunications workflow stack.
Broadcasting and telecommunications	Customer, participant, or stakeholder communication and escalation	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer, participant, or stakeholder communication and escalation still depends on manual coordination and exception handling inside the broadcasting and telecommunications workflow stack.
Broadcasting and telecommunications	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the broadcasting and telecommunications workflow stack.
Management of companies and enterprises	Capital Allocation and Planning	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Capital Allocation and Planning still depends on manual coordination and exception handling inside the management of companies and enterprises workflow stack.
Management of companies and enterprises	Financial Consolidation	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Financial Consolidation still depends on manual coordination and exception handling inside the management of companies and enterprises workflow stack.
Management of companies and enterprises	Governance and Risk Review	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Governance and Risk Review still depends on manual coordination and exception handling inside the management of companies and enterprises workflow stack.
Management of companies and enterprises	Shared Service Operations	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Shared Service Operations still depends on manual coordination and exception handling inside the management of companies and enterprises workflow stack.
Management of companies and enterprises	Performance Management	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Performance Management still depends on manual coordination and exception handling inside the management of companies and enterprises workflow stack.
Management of companies and enterprises	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the management of companies and enterprises workflow stack.
Management of companies and enterprises	Billing, settlement, and close	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Billing, settlement, and close still depends on manual coordination and exception handling inside the management of companies and enterprises workflow stack.
Management of companies and enterprises	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the management of companies and enterprises workflow stack.
Management of companies and enterprises	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the management of companies and enterprises workflow stack.
Management of companies and enterprises	Customer, participant, or stakeholder communication and escalation	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer, participant, or stakeholder communication and escalation still depends on manual coordination and exception handling inside the management of companies and enterprises workflow stack.
Management of companies and enterprises	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the management of companies and enterprises workflow stack.
Management of companies and enterprises	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the management of companies and enterprises workflow stack.
Computer systems design and related services	Lead and Proposal Management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead and Proposal Management still depends on manual coordination and exception handling inside the computer systems design and related services workflow stack.
Computer systems design and related services	Staffing and Capacity Planning	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Staffing and Capacity Planning still depends on manual coordination and exception handling inside the computer systems design and related services workflow stack.
Computer systems design and related services	Project Delivery	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Project Delivery still depends on manual coordination and exception handling inside the computer systems design and related services workflow stack.
Computer systems design and related services	Time and Expense Capture	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Time and Expense Capture still depends on manual coordination and exception handling inside the computer systems design and related services workflow stack.
Computer systems design and related services	Renewal and Account Expansion	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Renewal and Account Expansion still depends on manual coordination and exception handling inside the computer systems design and related services workflow stack.
Computer systems design and related services	Time, billing, and renewal handoffs	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Time, billing, and renewal handoffs still depends on manual coordination and exception handling inside the computer systems design and related services workflow stack.
Computer systems design and related services	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the computer systems design and related services workflow stack.
Computer systems design and related services	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the computer systems design and related services workflow stack.
Computer systems design and related services	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the computer systems design and related services workflow stack.
Motor vehicles, bodies and trailers, and parts	Program and Platform Planning	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Program and Platform Planning still depends on manual coordination and exception handling inside the motor vehicles, bodies and trailers, and parts workflow stack.
Motor vehicles, bodies and trailers, and parts	Supplier Scheduling and Procurement	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Supplier Scheduling and Procurement still depends on manual coordination and exception handling inside the motor vehicles, bodies and trailers, and parts workflow stack.
Motor vehicles, bodies and trailers, and parts	Shop Floor Execution and Quality Management	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Shop Floor Execution and Quality Management still depends on manual coordination and exception handling inside the motor vehicles, bodies and trailers, and parts workflow stack.
Motor vehicles, bodies and trailers, and parts	Logistics and Channel Fulfillment	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Logistics and Channel Fulfillment still depends on manual coordination and exception handling inside the motor vehicles, bodies and trailers, and parts workflow stack.
Motor vehicles, bodies and trailers, and parts	Aftermarket Service and Field Support	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Aftermarket Service and Field Support still depends on manual coordination and exception handling inside the motor vehicles, bodies and trailers, and parts workflow stack.
Motor vehicles, bodies and trailers, and parts	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the motor vehicles, bodies and trailers, and parts workflow stack.
Motor vehicles, bodies and trailers, and parts	Billing, settlement, and close	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Billing, settlement, and close still depends on manual coordination and exception handling inside the motor vehicles, bodies and trailers, and parts workflow stack.
Motor vehicles, bodies and trailers, and parts	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the motor vehicles, bodies and trailers, and parts workflow stack.
Motor vehicles, bodies and trailers, and parts	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the motor vehicles, bodies and trailers, and parts workflow stack.
Publishing industries, except internet (includes software)	Product and Content Development	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Product and Content Development still depends on manual coordination and exception handling inside the publishing industries, except internet (includes software) workflow stack.
Publishing industries, except internet (includes software)	Subscription and License Management	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Subscription and License Management still depends on manual coordination and exception handling inside the publishing industries, except internet (includes software) workflow stack.
Publishing industries, except internet (includes software)	Distribution and Release Management	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Distribution and Release Management still depends on manual coordination and exception handling inside the publishing industries, except internet (includes software) workflow stack.
Publishing industries, except internet (includes software)	Customer Support and Success	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer Support and Success still depends on manual coordination and exception handling inside the publishing industries, except internet (includes software) workflow stack.
Publishing industries, except internet (includes software)	Billing and Renewals	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Billing and Renewals still depends on manual coordination and exception handling inside the publishing industries, except internet (includes software) workflow stack.
Publishing industries, except internet (includes software)	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the publishing industries, except internet (includes software) workflow stack.
Publishing industries, except internet (includes software)	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the publishing industries, except internet (includes software) workflow stack.
Publishing industries, except internet (includes software)	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the publishing industries, except internet (includes software) workflow stack.
Publishing industries, except internet (includes software)	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the publishing industries, except internet (includes software) workflow stack.
Publishing industries, except internet (includes software)	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the publishing industries, except internet (includes software) workflow stack.
Rental and leasing services and lessors of intangible assets	Asset Acquisition and Setup	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Asset Acquisition and Setup still depends on manual coordination and exception handling inside the rental and leasing services and lessors of intangible assets workflow stack.
Rental and leasing services and lessors of intangible assets	Reservation and Contract Management	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Reservation and Contract Management still depends on manual coordination and exception handling inside the rental and leasing services and lessors of intangible assets workflow stack.
Rental and leasing services and lessors of intangible assets	Dispatch and Checkout	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Dispatch and Checkout still depends on manual coordination and exception handling inside the rental and leasing services and lessors of intangible assets workflow stack.
Rental and leasing services and lessors of intangible assets	Asset Maintenance and Turnover	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Asset Maintenance and Turnover still depends on manual coordination and exception handling inside the rental and leasing services and lessors of intangible assets workflow stack.
Rental and leasing services and lessors of intangible assets	Billing and Asset Recovery	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Billing and Asset Recovery still depends on manual coordination and exception handling inside the rental and leasing services and lessors of intangible assets workflow stack.
Rental and leasing services and lessors of intangible assets	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the rental and leasing services and lessors of intangible assets workflow stack.
Rental and leasing services and lessors of intangible assets	Billing, settlement, and close	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Billing, settlement, and close still depends on manual coordination and exception handling inside the rental and leasing services and lessors of intangible assets workflow stack.
Rental and leasing services and lessors of intangible assets	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the rental and leasing services and lessors of intangible assets workflow stack.
Rental and leasing services and lessors of intangible assets	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the rental and leasing services and lessors of intangible assets workflow stack.
Rental and leasing services and lessors of intangible assets	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the rental and leasing services and lessors of intangible assets workflow stack.
Utilities	Load Forecasting and Dispatch	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Load Forecasting and Dispatch still depends on manual coordination and exception handling inside the utilities workflow stack.
Utilities	Asset Maintenance and Outage Management	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Asset Maintenance and Outage Management still depends on manual coordination and exception handling inside the utilities workflow stack.
Utilities	Meter-to-Cash	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Meter-to-Cash still depends on manual coordination and exception handling inside the utilities workflow stack.
Utilities	Capital Planning and Compliance Reporting	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Capital Planning and Compliance Reporting still depends on manual coordination and exception handling inside the utilities workflow stack.
Utilities	Customer Service and Field Response	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer Service and Field Response still depends on manual coordination and exception handling inside the utilities workflow stack.
Utilities	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the utilities workflow stack.
Utilities	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the utilities workflow stack.
Utilities	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the utilities workflow stack.
Petroleum and coal products	Material Sourcing	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Material Sourcing still depends on manual coordination and exception handling inside the petroleum and coal products workflow stack.
Petroleum and coal products	Production Planning and Process Control	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Production Planning and Process Control still depends on manual coordination and exception handling inside the petroleum and coal products workflow stack.
Petroleum and coal products	Maintenance and Turnaround Management	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Maintenance and Turnaround Management still depends on manual coordination and exception handling inside the petroleum and coal products workflow stack.
Petroleum and coal products	Blending, Logistics, and Distribution	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Blending, Logistics, and Distribution still depends on manual coordination and exception handling inside the petroleum and coal products workflow stack.
Petroleum and coal products	Margin, Safety, and Emissions Reporting	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Margin, Safety, and Emissions Reporting still depends on manual coordination and exception handling inside the petroleum and coal products workflow stack.
Petroleum and coal products	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the petroleum and coal products workflow stack.
Petroleum and coal products	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the petroleum and coal products workflow stack.
Petroleum and coal products	Customer, participant, or stakeholder communication and escalation	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer, participant, or stakeholder communication and escalation still depends on manual coordination and exception handling inside the petroleum and coal products workflow stack.
Petroleum and coal products	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the petroleum and coal products workflow stack.
Farms	Production Planning	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Production Planning still depends on manual coordination and exception handling inside the farms workflow stack.
Farms	Input Sourcing and Procurement	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Input Sourcing and Procurement still depends on manual coordination and exception handling inside the farms workflow stack.
Farms	Field Operations	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Field Operations still depends on manual coordination and exception handling inside the farms workflow stack.
