industry	workflow	lifecycle_stage	objective	trigger	actors	economic_buyer	systems_of_record	manual_tools	decisions	handoffs	customer_interactions	exceptions	recovery_loops	manual_work	spreadsheet_usage	email_usage	money_lost	time_lost	judgment	customer_evidence	incumbent_products	economics	candidate_status	gate_workflow_coverage	gate_customer_evidence	gate_frequency	gate_buyer	gate_bottom_up_economics	gate_incumbent_boundary	gate_timing	gate_competitive_stress	gate_kill_test	worker_role_signal
Other services, except government	Compliance, reporting, and audit support	Governance / Risk	Manage compliance, reporting, and audit support to maintain compliant records and reporting	reporting deadline, control review, or audit request	compliance lead; finance manager	controller; branch leader; operations executive	CRM | POS and Payments | HCM / Workforce Management | Service Management	PDF evidence packs; spreadsheets; email	approve controls, certify records, and remediate gaps	operations and finance to compliance and external review	regulators; auditors; funders	missing evidence, failed control, or filing inconsistency	assemble proof, remediate the gap, and resubmit the record	High	Medium	High	Medium	High	High	Low - generalized from Atlas workflow and outcome layer	CRM | POS and Payments | HCM / Workforce Management | Service Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	compliance lead
Other services, except government	Exception, dispute, and recovery handling	Recovery	Manage exception, dispute, and recovery handling to resolve deviations before they miss the economic deadline	deviation, mismatch, dispute, or blocked step	operations analyst; specialist; manager	controller; branch leader; operations executive	CRM | POS and Payments | HCM / Workforce Management | Service Management	spreadsheets; email; calls; case notes	diagnose cause, choose correction, and resubmit	front-line teams to specialists and approvers	counterparties; clients; vendors; internal approvers	distributed error states, manual evidence gathering, and unclear ownership	diagnosis, evidence gathering, correction, approval, resubmission, and closure	High	High	High	High	High	High	Low - generalized from Atlas workflow and outcome layer	CRM | POS and Payments | HCM / Workforce Management | Service Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Supporting workflow	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	operations analyst
Securities, commodity contracts, and investments	Client Onboarding and KYC	Customer / Participant	Manage client onboarding and kyc to keep stakeholder communication and follow-through intact	customer request, service milestone, or escalation	account manager; service lead	COO; CFO; head of operations	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	email; calls; ticket notes	respond, escalate, or resolve service issues	service or operations to stakeholder-facing teams	customers; clients; participants	stale follow-up, unresolved request, or churn-risk escalation	collect context, escalate ownership, and re-engage the stakeholder	Medium	Low	High	Low	Medium	High	Low - generalized from Atlas workflow and outcome layer	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	account manager
Securities, commodity contracts, and investments	Portfolio and Order Management	Operational	Manage portfolio and order management to execute the recurring workflow reliably	scheduled operational work or live transaction flow	operations manager; supervisor	COO; CFO; head of operations	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	calls; chat; shared trackers	sequence work, allocate resources, and escalate blockers	operations to downstream finance or service teams	internal teams; service partners; operators	capacity conflict, execution miss, or missing status context	triage blocker, resequence work, and update commitments	Medium	Low	Medium	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	operations manager
Securities, commodity contracts, and investments	Trade Execution and Settlement	Financial	Manage trade execution and settlement to complete the financial cycle accurately and on time	billing cycle, settlement event, or period close	controller; finance manager; billing specialist	COO; CFO; head of operations	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	spreadsheets; email; exported reports	post, settle, approve, dispute, or close	operations to finance to counterparty	customers; payers; counterparties	posting mismatch, settlement break, or disputed amount	reconcile records, correct the transaction, and reclose	High	High	High	High	High	High	Low - generalized from Atlas workflow and outcome layer	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Supporting workflow	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	controller
Securities, commodity contracts, and investments	Risk and Compliance Surveillance	Governance / Risk	Manage risk and compliance surveillance to maintain compliant records and reporting	reporting deadline, control review, or audit request	compliance lead; finance manager	COO; CFO; head of operations	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	PDF evidence packs; spreadsheets; email	approve controls, certify records, and remediate gaps	operations and finance to compliance and external review	regulators; auditors; funders	missing evidence, failed control, or filing inconsistency	assemble proof, remediate the gap, and resubmit the record	High	Medium	High	Medium	High	High	Low - generalized from Atlas workflow and outcome layer	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	compliance lead
Securities, commodity contracts, and investments	Investor Reporting and Performance	Customer / Participant	Manage investor reporting and performance to keep stakeholder communication and follow-through intact	customer request, service milestone, or escalation	account manager; service lead	COO; CFO; head of operations	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	email; calls; ticket notes	respond, escalate, or resolve service issues	service or operations to stakeholder-facing teams	customers; clients; participants	stale follow-up, unresolved request, or churn-risk escalation	collect context, escalate ownership, and re-engage the stakeholder	Medium	Low	High	Low	Medium	High	Low - generalized from Atlas workflow and outcome layer	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	account manager
Securities, commodity contracts, and investments	Trade execution, settlement, and books-and-records exceptions	Recovery	Manage trade execution, settlement, and books-and-records exceptions to resolve deviations before they miss the economic deadline	deviation, mismatch, dispute, or blocked step	operations analyst; specialist; manager	COO; CFO; head of operations	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	spreadsheets; email; calls; case notes	diagnose cause, choose correction, and resubmit	front-line teams to specialists and approvers	counterparties; clients; vendors; internal approvers	distributed error states, manual evidence gathering, and unclear ownership	diagnosis, evidence gathering, correction, approval, resubmission, and closure	High	High	High	High	High	High	Medium - prior full-pass evidence	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	cycle-time delay; manual labor; exception cost; quality or revenue leakage	MERGE->W-004	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	MERGE	operations analyst
Securities, commodity contracts, and investments	Lead, intake, and qualification management	Commercial	Manage lead, intake, and qualification management to qualify demand and set the workflow up cleanly	new opportunity, intake, or renewal event	account lead; commercial manager	COO; CFO; head of operations	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	email; shared docs; spreadsheets	approve terms, scope, and go/no-go path	commercial to operations and finance	customers; counterparties; prospects	missing information, misconfigured setup, or counterparty delay	request clarification, correct setup, and restage the workflow	Medium	Medium	High	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	account lead
Securities, commodity contracts, and investments	Workforce planning, assignment, and time capture	Workforce	Manage workforce planning, assignment, and time capture to keep people assignment and time flow accurate	staffing need, schedule change, or pay-period cutoff	workforce manager; scheduler; payroll lead	COO; CFO; head of operations	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	email; spreadsheets; portal checks	assign staff, approve time, and resolve exceptions	staffing or site teams to payroll and finance	employees; contractors; site leaders	missing approvals, bad assignment data, or pay-period mismatch	chase approval, restage records, and rerun the cycle	High	Medium	High	High	High	High	Low - generalized from Atlas workflow and outcome layer	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	workforce manager
Securities, commodity contracts, and investments	Supplier, vendor, or partner onboarding and compliance	Supplier / Partner	Manage supplier, vendor, or partner onboarding and compliance to keep external partners ready and compliant	new partner need, replenishment event, or contract change	procurement lead; vendor manager	COO; CFO; head of operations	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	email; PDF packets; checklist trackers	approve vendor, accept docs, and route work	operations to vendor and back-office teams	vendors; suppliers; partners	missing compliance items, delay, or contract mismatch	chase documents, swap counterparties, and resend the packet	High	Low	High	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	procurement lead
Chemical products	Material Sourcing	Supplier / Partner	Manage material sourcing to keep external partners ready and compliant	new partner need, replenishment event, or contract change	procurement lead; vendor manager	plant or business-unit leader; controller; operations head	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	email; PDF packets; checklist trackers	approve vendor, accept docs, and route work	operations to vendor and back-office teams	vendors; suppliers; partners	missing compliance items, delay, or contract mismatch	chase documents, swap counterparties, and resend the packet	High	Low	High	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	procurement lead
Chemical products	Production Planning and Process Control	Operational	Manage production planning and process control to execute the recurring workflow reliably	scheduled operational work or live transaction flow	operations manager; supervisor	plant or business-unit leader; controller; operations head	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	calls; chat; shared trackers	sequence work, allocate resources, and escalate blockers	operations to downstream finance or service teams	internal teams; service partners; operators	capacity conflict, execution miss, or missing status context	triage blocker, resequence work, and update commitments	Medium	Low	Medium	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	operations manager
Chemical products	Quality, Safety, and Environmental Management	Governance / Risk	Manage quality, safety, and environmental management to maintain compliant records and reporting	reporting deadline, control review, or audit request	compliance lead; finance manager	plant or business-unit leader; controller; operations head	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	PDF evidence packs; spreadsheets; email	approve controls, certify records, and remediate gaps	operations and finance to compliance and external review	regulators; auditors; funders	missing evidence, failed control, or filing inconsistency	assemble proof, remediate the gap, and resubmit the record	High	Medium	High	Medium	High	High	Low - generalized from Atlas workflow and outcome layer	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	compliance lead
Chemical products	Order Management and Fulfillment	Operational	Manage order management and fulfillment to execute the recurring workflow reliably	scheduled operational work or live transaction flow	operations manager; supervisor	plant or business-unit leader; controller; operations head	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	calls; chat; shared trackers	sequence work, allocate resources, and escalate blockers	operations to downstream finance or service teams	internal teams; service partners; operators	capacity conflict, execution miss, or missing status context	triage blocker, resequence work, and update commitments	Medium	Low	Medium	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	operations manager
Chemical products	Contract and Margin Management	Financial	Manage contract and margin management to complete the financial cycle accurately and on time	billing cycle, settlement event, or period close	controller; finance manager; billing specialist	plant or business-unit leader; controller; operations head	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	spreadsheets; email; exported reports	post, settle, approve, dispute, or close	operations to finance to counterparty	customers; payers; counterparties	posting mismatch, settlement break, or disputed amount	reconcile records, correct the transaction, and reclose	High	High	High	High	High	High	Low-Medium - prior full-pass evidence	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	KILL-candidate	Pass	Borderline	Pass	Pass	Borderline	Fail	Borderline	Fail	Pass	controller
Chemical products	Lead, intake, and qualification management	Commercial	Manage lead, intake, and qualification management to qualify demand and set the workflow up cleanly	new opportunity, intake, or renewal event	account lead; commercial manager	plant or business-unit leader; controller; operations head	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	email; shared docs; spreadsheets	approve terms, scope, and go/no-go path	commercial to operations and finance	customers; counterparties; prospects	missing information, misconfigured setup, or counterparty delay	request clarification, correct setup, and restage the workflow	Medium	Medium	High	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	account lead
Chemical products	Workforce planning, assignment, and time capture	Workforce	Manage workforce planning, assignment, and time capture to keep people assignment and time flow accurate	staffing need, schedule change, or pay-period cutoff	workforce manager; scheduler; payroll lead	plant or business-unit leader; controller; operations head	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	email; spreadsheets; portal checks	assign staff, approve time, and resolve exceptions	staffing or site teams to payroll and finance	employees; contractors; site leaders	missing approvals, bad assignment data, or pay-period mismatch	chase approval, restage records, and rerun the cycle	High	Medium	High	High	High	High	Low - generalized from Atlas workflow and outcome layer	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	workforce manager
Chemical products	Customer, participant, or stakeholder communication and escalation	Customer / Participant	Manage customer, participant, or stakeholder communication and escalation to keep stakeholder communication and follow-through intact	customer request, service milestone, or escalation	account manager; service lead	plant or business-unit leader; controller; operations head	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	email; calls; ticket notes	respond, escalate, or resolve service issues	service or operations to stakeholder-facing teams	customers; clients; participants	stale follow-up, unresolved request, or churn-risk escalation	collect context, escalate ownership, and re-engage the stakeholder	Medium	Low	High	Low	Medium	High	Low - generalized from Atlas workflow and outcome layer	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	account manager
Chemical products	Exception, dispute, and recovery handling	Recovery	Manage exception, dispute, and recovery handling to resolve deviations before they miss the economic deadline	deviation, mismatch, dispute, or blocked step	operations analyst; specialist; manager	plant or business-unit leader; controller; operations head	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	spreadsheets; email; calls; case notes	diagnose cause, choose correction, and resubmit	front-line teams to specialists and approvers	counterparties; clients; vendors; internal approvers	distributed error states, manual evidence gathering, and unclear ownership	diagnosis, evidence gathering, correction, approval, resubmission, and closure	High	High	High	High	High	High	Low - generalized from Atlas workflow and outcome layer	ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Supporting workflow	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	operations analyst
Data processing, internet publishing, and other information services	Infrastructure Capacity Planning	Operational	Manage infrastructure capacity planning to execute the recurring workflow reliably	scheduled operational work or live transaction flow	operations manager; supervisor	finance leader; revenue operations leader; COO	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	calls; chat; shared trackers	sequence work, allocate resources, and escalate blockers	operations to downstream finance or service teams	internal teams; service partners; operators	capacity conflict, execution miss, or missing status context	triage blocker, resequence work, and update commitments	Medium	Low	Medium	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	operations manager
Data processing, internet publishing, and other information services	Product and Content Release Management	Operational	Manage product and content release management to execute the recurring workflow reliably	scheduled operational work or live transaction flow	operations manager; supervisor	finance leader; revenue operations leader; COO	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	calls; chat; shared trackers	sequence work, allocate resources, and escalate blockers	operations to downstream finance or service teams	internal teams; service partners; operators	capacity conflict, execution miss, or missing status context	triage blocker, resequence work, and update commitments	Medium	Low	Medium	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	operations manager
Data processing, internet publishing, and other information services	Customer Acquisition and Onboarding	Customer / Participant	Manage customer acquisition and onboarding to keep stakeholder communication and follow-through intact	customer request, service milestone, or escalation	account manager; service lead	finance leader; revenue operations leader; COO	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	email; calls; ticket notes	respond, escalate, or resolve service issues	service or operations to stakeholder-facing teams	customers; clients; participants	stale follow-up, unresolved request, or churn-risk escalation	collect context, escalate ownership, and re-engage the stakeholder	Medium	Low	High	Low	Medium	High	Low - generalized from Atlas workflow and outcome layer	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	account manager
Data processing, internet publishing, and other information services	Usage Billing and Monetization	Financial	Manage usage billing and monetization to complete the financial cycle accurately and on time	billing cycle, settlement event, or period close	controller; finance manager; billing specialist	finance leader; revenue operations leader; COO	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	spreadsheets; email; exported reports	post, settle, approve, dispute, or close	operations to finance to counterparty	customers; payers; counterparties	posting mismatch, settlement break, or disputed amount	reconcile records, correct the transaction, and reclose	High	High	High	High	High	High	Low-Medium - prior full-pass evidence	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	KILL-candidate	Pass	Borderline	Pass	Pass	Borderline	Fail	Borderline	Fail	Pass	controller
Data processing, internet publishing, and other information services	Reliability and Security Operations	Operational	Manage reliability and security operations to execute the recurring workflow reliably	scheduled operational work or live transaction flow	operations manager; supervisor	finance leader; revenue operations leader; COO	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	calls; chat; shared trackers	sequence work, allocate resources, and escalate blockers	operations to downstream finance or service teams	internal teams; service partners; operators	capacity conflict, execution miss, or missing status context	triage blocker, resequence work, and update commitments	Medium	Low	Medium	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	operations manager
Data processing, internet publishing, and other information services	Lead, intake, and qualification management	Commercial	Manage lead, intake, and qualification management to qualify demand and set the workflow up cleanly	new opportunity, intake, or renewal event	account lead; commercial manager	finance leader; revenue operations leader; COO	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	email; shared docs; spreadsheets	approve terms, scope, and go/no-go path	commercial to operations and finance	customers; counterparties; prospects	missing information, misconfigured setup, or counterparty delay	request clarification, correct setup, and restage the workflow	Medium	Medium	High	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	account lead
Data processing, internet publishing, and other information services	Workforce planning, assignment, and time capture	Workforce	Manage workforce planning, assignment, and time capture to keep people assignment and time flow accurate	staffing need, schedule change, or pay-period cutoff	workforce manager; scheduler; payroll lead	finance leader; revenue operations leader; COO	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	email; spreadsheets; portal checks	assign staff, approve time, and resolve exceptions	staffing or site teams to payroll and finance	employees; contractors; site leaders	missing approvals, bad assignment data, or pay-period mismatch	chase approval, restage records, and rerun the cycle	High	Medium	High	High	High	High	Low - generalized from Atlas workflow and outcome layer	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	workforce manager
Data processing, internet publishing, and other information services	Supplier, vendor, or partner onboarding and compliance	Supplier / Partner	Manage supplier, vendor, or partner onboarding and compliance to keep external partners ready and compliant	new partner need, replenishment event, or contract change	procurement lead; vendor manager	finance leader; revenue operations leader; COO	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	email; PDF packets; checklist trackers	approve vendor, accept docs, and route work	operations to vendor and back-office teams	vendors; suppliers; partners	missing compliance items, delay, or contract mismatch	chase documents, swap counterparties, and resend the packet	High	Low	High	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	procurement lead
Data processing, internet publishing, and other information services	Compliance, reporting, and audit support	Governance / Risk	Manage compliance, reporting, and audit support to maintain compliant records and reporting	reporting deadline, control review, or audit request	compliance lead; finance manager	finance leader; revenue operations leader; COO	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	PDF evidence packs; spreadsheets; email	approve controls, certify records, and remediate gaps	operations and finance to compliance and external review	regulators; auditors; funders	missing evidence, failed control, or filing inconsistency	assemble proof, remediate the gap, and resubmit the record	High	Medium	High	Medium	High	High	Low - generalized from Atlas workflow and outcome layer	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	compliance lead
Data processing, internet publishing, and other information services	Exception, dispute, and recovery handling	Recovery	Manage exception, dispute, and recovery handling to resolve deviations before they miss the economic deadline	deviation, mismatch, dispute, or blocked step	operations analyst; specialist; manager	finance leader; revenue operations leader; COO	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	spreadsheets; email; calls; case notes	diagnose cause, choose correction, and resubmit	front-line teams to specialists and approvers	counterparties; clients; vendors; internal approvers	distributed error states, manual evidence gathering, and unclear ownership	diagnosis, evidence gathering, correction, approval, resubmission, and closure	High	High	High	High	High	High	Low - generalized from Atlas workflow and outcome layer	Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Supporting workflow	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	operations analyst
Broadcasting and telecommunications	Network Planning and Capital Management	Operational	Manage network planning and capital management to execute the recurring workflow reliably	scheduled operational work or live transaction flow	operations manager; supervisor	operations executive; finance leader; regulatory head	Network OSS/BSS | Billing and Subscription Management | CRM	calls; chat; shared trackers	sequence work, allocate resources, and escalate blockers	operations to downstream finance or service teams	internal teams; service partners; operators	capacity conflict, execution miss, or missing status context	triage blocker, resequence work, and update commitments	Medium	Low	Medium	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	Network OSS/BSS | Billing and Subscription Management | CRM	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	operations manager
Broadcasting and telecommunications	Service Provisioning and Activation	Operational	Manage service provisioning and activation to execute the recurring workflow reliably	scheduled operational work or live transaction flow	operations manager; supervisor	operations executive; finance leader; regulatory head	Network OSS/BSS | Billing and Subscription Management | CRM	calls; chat; shared trackers	sequence work, allocate resources, and escalate blockers	operations to downstream finance or service teams	internal teams; service partners; operators	capacity conflict, execution miss, or missing status context	triage blocker, resequence work, and update commitments	Medium	Low	Medium	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	Network OSS/BSS | Billing and Subscription Management | CRM	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	operations manager
Broadcasting and telecommunications	Content and Service Operations	Operational	Manage content and service operations to execute the recurring workflow reliably	scheduled operational work or live transaction flow	operations manager; supervisor	operations executive; finance leader; regulatory head	Network OSS/BSS | Billing and Subscription Management | CRM	calls; chat; shared trackers	sequence work, allocate resources, and escalate blockers	operations to downstream finance or service teams	internal teams; service partners; operators	capacity conflict, execution miss, or missing status context	triage blocker, resequence work, and update commitments	Medium	Low	Medium	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	Network OSS/BSS | Billing and Subscription Management | CRM	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	operations manager
Broadcasting and telecommunications	Billing and Collections	Financial	Manage billing and collections to complete the financial cycle accurately and on time	billing cycle, settlement event, or period close	controller; finance manager; billing specialist	operations executive; finance leader; regulatory head	Network OSS/BSS | Billing and Subscription Management | CRM	spreadsheets; email; exported reports	post, settle, approve, dispute, or close	operations to finance to counterparty	customers; payers; counterparties	posting mismatch, settlement break, or disputed amount	reconcile records, correct the transaction, and reclose	High	High	High	High	High	High	Low - generalized from Atlas workflow and outcome layer	Network OSS/BSS | Billing and Subscription Management | CRM	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Supporting workflow	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	controller
Broadcasting and telecommunications	Outage and Regulatory Management	Recovery	Manage outage and regulatory management to resolve deviations before they miss the economic deadline	deviation, mismatch, dispute, or blocked step	operations analyst; specialist; manager	operations executive; finance leader; regulatory head	Network OSS/BSS | Billing and Subscription Management | CRM	spreadsheets; email; calls; case notes	diagnose cause, choose correction, and resubmit	front-line teams to specialists and approvers	counterparties; clients; vendors; internal approvers	distributed error states, manual evidence gathering, and unclear ownership	diagnosis, evidence gathering, correction, approval, resubmission, and closure	High	High	High	High	High	High	Low-Medium - prior full-pass evidence	Network OSS/BSS | Billing and Subscription Management | CRM	cycle-time delay; manual labor; exception cost; quality or revenue leakage	KILL-candidate	Pass	Borderline	Pass	Pass	Borderline	Fail	Borderline	Fail	Pass	operations analyst
Broadcasting and telecommunications	Lead, intake, and qualification management	Commercial	Manage lead, intake, and qualification management to qualify demand and set the workflow up cleanly	new opportunity, intake, or renewal event	account lead; commercial manager	operations executive; finance leader; regulatory head	Network OSS/BSS | Billing and Subscription Management | CRM	email; shared docs; spreadsheets	approve terms, scope, and go/no-go path	commercial to operations and finance	customers; counterparties; prospects	missing information, misconfigured setup, or counterparty delay	request clarification, correct setup, and restage the workflow	Medium	Medium	High	Medium	Medium	High	Low - generalized from Atlas workflow and outcome layer	Network OSS/BSS | Billing and Subscription Management | CRM	cycle-time delay; manual labor; exception cost; quality or revenue leakage	Not pursued	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	account lead
