rank_2025_gross_output,industry_name,bea_table_line,gross_output_2025_usd_mn,value_added_2025_usd_mn,q1_2026_real_go_change_pct_saar,economic_size_summary,operating_model_observation,core_workflows_observation,systems_of_record_map,technology_maturity_assessment,structural_pressures_observation,inefficiency_signals_observation,evidence_quality_confidence,source_links,hypothesis_notes
30,Educational services,75,519889,347194,-0.5,$0.52T gross output; $0.35T value added (BEA 2025),"Tuition- and funding-backed instruction model driven by enrollment, completion, staffing, facilities, and regulatory reporting.",Admissions/enrollment | Scheduling and staffing | Instruction delivery | Student services/retention | Billing/aid and reporting,Ellucian | PowerSchool | Canvas | Workday Student | Blackboard,"Medium: SIS/LMS adoption is broad, but data remains fragmented across academic, financial, and advising workflows.",Demographic enrollment pressure; tuition affordability; online competition; staffing shortages; accountability/reporting demands.,Manual advising handoffs; disconnected SIS/LMS/finance data; low visibility into intervention effectiveness; heavy reporting burden.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://nces.ed.gov/programs/digest/index.asp,
31,Fabricated metal products,17,467454,192851,1.7,$0.47T gross output; $0.19T value added (BEA 2025),"Discrete manufacturing of engineered metal components; economics depend on quoting accuracy, machine utilization, scrap control, and on-time delivery.",RFQ/estimating | Production planning | Shop-floor execution | Quality inspection | Shipping and invoice reconciliation,Epicor | Infor | SAP | Plex | JobBOSS,"Medium: strong ERP/MES options exist, but many firms remain fragmented across machines, QC, and scheduling.",Energy/material cost swings; reshoring demand; labor scarcity; OEM quality requirements; shorter lead-time expectations.,Spreadsheet scheduling; poor WIP visibility; quoting drift; manual quality paperwork; slow root-cause loops.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.census.gov/programs-surveys/aies/about.html,
32,Oil and gas extraction,7,454559,231439,-1.6,$0.45T gross output; $0.23T value added (BEA 2025),"Reservoir development and production model monetizing hydrocarbon output; economics hinge on acreage quality, drilling/completion efficiency, and realized pricing.",Lease/geology evaluation | Drilling and completion planning | Production operations | Midstream coordination | Revenue and regulatory reporting,Enverus | SLB Delfi | Halliburton Landmark | SAP | Quorum,"Medium-High: subsurface and field systems are strong, but cross-operator data and manual reporting remain common.",Commodity-price volatility; methane/emissions scrutiny; service-cost inflation; acreage quality depletion; capital discipline.,Disconnected field and accounting data; manual land/regulatory workflows; production/revenue reconciliation friction.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.eia.gov/energyexplained/natural-gas/index.php | https://www.eia.gov/energyexplained/natural-gas/data-and-statistics.php,
33,Machinery,18,448315,205135,-0.5,$0.45T gross output; $0.21T value added (BEA 2025),"Discrete manufacturing of industrial equipment; economics run through order backlog, engineering reuse, supplier performance, and aftermarket revenue.",Product configuration/engineering | Supplier scheduling | Assembly and test | Dealer/OEM logistics | Service parts and field support,SAP | Oracle | Siemens Teamcenter | PTC Windchill | Rockwell FactoryTalk,"Medium-High: PLM/ERP layers are mature, but configure-to-order and service data are often disconnected.",Capex cycles; supplier reliability; automation demand; product complexity; service-margin expectations.,BOM/version errors; engineering-to-production handoff friction; spare-parts forecasting gaps; field-service feedback not reused well.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.census.gov/programs-surveys/aies/about.html,
34,Other transportation equipment,22,438121,210259,12.4,$0.44T gross output; $0.21T value added (BEA 2025),"Program-based manufacturing of aerospace, rail, marine, and defense transport systems; economics depend on certification, quality, schedule, and long-cycle contracts.",Program planning | Supplier and compliance management | Assembly/test/certification | Delivery and contract milestones | Aftermarket/service support,SAP | Oracle | Dassault 3DEXPERIENCE | Siemens Teamcenter | IFS,"Medium-High: engineering and program systems are strong, but supplier and documentation complexity remain large.",Defense/aviation demand shifts; certification burden; supply-chain fragility; cost overruns; workforce specialization shortages.,Document-control bottlenecks; slow nonconformance closure; multi-tier supplier visibility gaps; milestone billing complexity.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.bts.gov/topics/transportation-and-economy,
35,Computer and electronic products,19,433852,318028,-2.1,$0.43T gross output; $0.32T value added (BEA 2025),"High-mix manufacturing of chips, boards, devices, and components; economics hinge on yield, cycle time, capex intensity, and supplier/customer concentration.",Demand and allocation planning | Engineering change control | Fab/assembly/test execution | Quality and traceability | Channel/OEM fulfillment,SAP | Oracle | Siemens Opcenter | Cadence | Synopsys,"High in technical production environments, medium in end-to-end commercial and supply-chain integration.",Semiconductor geopolitics; rapid product cycles; customer concentration; capex burden; inventory whiplash.,Engineering/version mismatches; constrained component visibility; excess-expedite costs; fragmented traceability across tiers.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.census.gov/programs-surveys/aies/about.html,
36,Accommodation,86,385288,269545,3.4,$0.39T gross output; $0.27T value added (BEA 2025),"Occupancy-driven lodging model monetizing room nights, group/event demand, ancillaries, and revenue management.",Distribution and reservations | Revenue management | Front-desk/housekeeping operations | Maintenance and guest service | Night audit and owner reporting,Oracle OPERA | Amadeus | Mews | Infor HMS | Cloudbeds,"Medium-High: PMS/CRS tools are mature, but labor, maintenance, and owner-operator data are still fragmented.",Travel-demand cyclicality; OTA power; labor shortages; property insurance/capex needs; guest-experience expectations.,Channel-management errors; housekeeping coordination friction; maintenance backlog visibility gaps; manual group/event reconciliation.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/retail/mrts/about_the_surveys.html | https://www.census.gov/programs-surveys/aies/about.html,
37,Nursing and residential care facilities,79,374918,227413,2.2,$0.37T gross output; $0.23T value added (BEA 2025),"Occupancy and reimbursement model for long-term and post-acute care; economics depend on staffing, acuity, compliance, and collections.",Admissions and census management | Care staffing | Clinical documentation | Medication/compliance workflows | Billing and payer collections,PointClickCare | MatrixCare | Netsmart | WellSky | Epic,"Medium: core care platforms are common, but staffing and reimbursement workflows remain fragile.",Caregiver shortages; reimbursement pressure; survey/compliance risk; rising acuity; occupancy mix shifts.,Manual staffing adjustments; disconnected clinical/financial data; claim denials; cumbersome handoffs with hospitals and families.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet | https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/historical,
38,Social assistance,80,373362,249466,0.3,$0.37T gross output; $0.25T value added (BEA 2025),"Case- and program-based human-services model funded by government, payers, and philanthropy; economics depend on caseload, staffing, compliance, and reimbursement/contract discipline.",Intake and eligibility | Case planning | Service delivery and referrals | Documentation/compliance | Billing/grant reporting,Netsmart | WellSky | Salesforce | Eccovia | Apricot,Medium-Low: many providers remain dependent on fragmented nonprofit/public-sector tooling and manual casework.,Funding uncertainty; rising caseload complexity; workforce burnout; reporting burden; cross-agency coordination needs.,Repeated client intake; poor referral tracking; grant/reporting duplication; limited outcome visibility across programs.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/historical | https://www.census.gov/programs-surveys/aies/about.html,
39,Other transportation and support activities,47,365801,226000,12.4,$0.37T gross output; $0.23T value added (BEA 2025),"Intermediation and network-support model across freight brokerage, forwarding, terminals, and transport coordination; economics depend on utilization, routing, and exception handling.",Load/booking intake | Carrier/vendor coordination | Terminal/yard execution | Exception tracking | Freight audit and settlement,Descartes | CargoWise | McLeod | Oracle Transportation Management | project44,"Medium: strong point solutions exist, but cross-party workflows still require heavy manual coordination.",Shipper visibility demands; margin compression in brokerage; customs/security complexity; port and terminal disruption risk.,Email/phone exception management; document handoffs; weak multimodal visibility; billing disputes and delayed status updates.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.bts.gov/topics/transportation-and-economy | https://data.bts.gov/Research-and-Statistics/Transportation-Economic-Trends-TET-data/tcq5-4pgu,
40,Food and beverage stores,37,360912,241266,-14,$0.36T gross output; $0.24T value added (BEA 2025),"Inventory-turn and perishables retail model driven by traffic, basket size, shrink control, fresh supply-chain execution, and labor productivity.",Assortment and replenishment | Fresh/perishables handling | POS and loyalty operations | Labor scheduling | Shrink and margin control,NCR Voyix | Oracle Retail | SAP | Manhattan Associates | Instacart enterprise tools,"Medium-High: store systems are mature, but perishables planning and omnichannel margin visibility remain hard.",Food inflation volatility; labor shortages; e-grocery economics; shrink; private-label competition.,Spoilage/waste; manual fresh ordering; split pickup/delivery/store data; promotion leakage.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/retail/mrts/about_the_surveys.html,
41,"Performing arts, spectator sports, museums, and related activities",83,346556,211483,3.3,$0.35T gross output; $0.21T value added (BEA 2025),"Attendance, rights, sponsorship, and programming-yield model monetizing tickets, memberships, events, and ancillary spend.",Programming and event planning | Ticketing and pricing | Venue/staff operations | Sponsorship and donor management | Post-event settlement/reporting,Ticketmaster/Live Nation | Tessitura | AudienceView | Salesforce | Eventbrite,"Medium: ticketing is mature, but sponsorship, donor, venue, and operations data are often siloed.",Attendance volatility; sponsorship pressure; content/artist costs; venue utilization risk; digital engagement expectations.,Scattered patron data; manual event operations; weak forecasting by show/event; fragmented sponsor reporting.,Low-Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/programs-surveys/aies/about.html | https://www.census.gov/programs-surveys/sas/about.html,
42,Air transportation,41,341492,184966,3.1,$0.34T gross output; $0.18T value added (BEA 2025),"Network yield-management model monetizing seat miles, cargo capacity, ancillaries, and fleet utilization under tight safety and slot constraints.",Network and schedule planning | Crew/fleet assignment | Revenue management | Ground ops and disruption recovery | Settlement/loyalty accounting,Sabre | Amadeus | Navitaire | Lufthansa Systems | IBM,"Medium-High: reservation and operational systems are mature, but disruption recovery and customer-service integration remain complex.",Fuel and labor costs; ATC/airport constraints; weather disruption; sustainability pressure; loyalty economics.,Irregular-ops recovery complexity; disconnected customer and ops systems; crew/schedule manual overrides; settlement disputes.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.bts.gov/topics/transportation-and-economy | https://data.bts.gov/Research-and-Statistics/Transportation-Economic-Trends-TET-data/tcq5-4pgu,
43,General merchandise stores,38,315464,231201,-27.4,$0.32T gross output; $0.23T value added (BEA 2025),"High-volume omnichannel retail model built on traffic, assortment breadth, inventory flow, and last-mile economics.",Assortment/category planning | Replenishment and DC flow | POS/e-commerce order orchestration | Store labor and shelf execution | Returns and markdown management,Oracle Retail | SAP | Manhattan Associates | Salesforce Commerce Cloud | Blue Yonder,"Medium-High: large players run sophisticated stacks, but omnichannel margin attribution is still difficult.",Marketplace competition; store labor pressure; shrink; fulfillment-cost inflation; assortment complexity.,Inventory discrepancies; markdown timing errors; split order management; weak end-to-end profitability visibility.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/retail/mrts/about_the_surveys.html,
44,Primary metals,16,310936,77714,-12.9,$0.31T gross output; $0.08T value added (BEA 2025),"Process manufacturing converting ore and scrap into metal stock; economics depend on energy intensity, feedstock cost, yield, and downstream demand.",Feedstock sourcing | Melt/cast/roll scheduling | Maintenance and asset uptime | Quality and certification | Order fulfillment,SAP | Oracle | AVEVA | AspenTech | OSIsoft PI,"Medium: heavy industrial systems are mature, but plant-to-enterprise integration is still inconsistent.",Energy prices; tariffs and trade flows; decarbonization pressure; cyclical industrial demand; scrap/raw-material availability.,Siloed process and commercial data; unplanned downtime; manual certification paperwork; weak margin-by-order visibility.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.eia.gov/energyexplained/use-of-energy/,
45,Plastics and rubber products,33,299217,101395,2.2,$0.30T gross output; $0.10T value added (BEA 2025),"Process and discrete manufacturing of polymer-based materials and parts; economics depend on resin inputs, throughput, tooling, and quality.",Resin/material procurement | Production planning | Tooling and machine execution | Quality/compliance | OEM/customer fulfillment,SAP | Infor | Epicor | Plex | Siemens Opcenter,"Medium: core plant and ERP systems exist, but scheduling, scrap, and quality data are often fragmented.",Resin volatility; sustainability/recycled-content demands; OEM quality scrutiny; labor and tooling constraints.,Scrap/rework opacity; poor mold/tool utilization visibility; manual quality logging; customer-spec change friction.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.census.gov/programs-surveys/aies/about.html,
46,"Funds, trusts, and other financial vehicles",59,283042,39160,4.9,$0.28T gross output; $0.04T value added (BEA 2025),"Pooled-capital management model monetizing management and performance fees on entrusted assets across funds, trusts, and structured vehicles.",Fund setup/onboarding | Portfolio accounting | Valuation/NAV and reconciliation | Investor reporting | Compliance and service-provider oversight,BlackRock Aladdin | SimCorp | SS&C | Clearwater | State Street Alpha,"High in core accounting/administration, medium in cross-provider transparency and exception management.",Fee pressure; reporting transparency demands; alternative-asset complexity; regulatory scrutiny; service-provider concentration.,Manual reconciliation with custodians/admins; slow NAV exception resolution; fragmented investor and portfolio data.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.sec.gov/data-research/statistics-data-visualizations/registered-investment-companies-statistics | https://www.sec.gov/data-research/sec-markets-data/information-about-registered-investment-advisers-exempt-reporting-advisers,
47,"Amusements, gambling, and recreation industries",84,264826,144357,-7.6,$0.26T gross output; $0.14T value added (BEA 2025),"Attendance and yield model monetizing admissions, gaming handle, F&B, memberships, and ancillary spend across recreational facilities.",Capacity/event planning | Ticketing or cage/POS operations | Staff scheduling | Safety/compliance | Customer loyalty and settlement,Konami Gaming | Light & Wonder | Oracle MICROS | Salesforce | Accesso,"Medium: venue and gaming systems are mature, but cross-property customer and operations data often stay siloed.",Consumer discretionary swings; labor cost inflation; regulatory oversight; digital competition; utilization risk.,Fragmented guest data; manual event/venue operations; inconsistent yield management; weak cross-channel attribution.,Low-Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/programs-surveys/aies/about.html | https://www.census.gov/programs-surveys/sas/about.html,
48,Paper products,29,221046,75191,5.3,$0.22T gross output; $0.08T value added (BEA 2025),"Capital-intensive process manufacturing of paper, packaging, and tissue; economics depend on fiber/energy inputs, machine uptime, and product mix.",Fiber sourcing | Mill scheduling and process control | Maintenance and uptime | Quality and converting | Logistics and customer fulfillment,SAP | Oracle | ABB | AVEVA | OSIsoft PI,"Medium: mill systems are mature, but commercial planning and plant data integration remain imperfect.",Energy cost exposure; packaging mix shifts; recycled-fiber supply; sustainability requirements; transportation costs.,Downtime losses; manual grade-change planning; weak plant-to-customer margin visibility; quality-data fragmentation.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.eia.gov/energyexplained/use-of-energy/,
49,Motion picture and sound recording industries,51,208986,119016,-1.6,$0.21T gross output; $0.12T value added (BEA 2025),"Project and rights model monetizing production, licensing, distribution, and catalog IP across film, television, music, and related assets.",Development/greenlight | Production scheduling | Rights and contract management | Distribution/release operations | Royalty and participation accounting,SAP | Movie Magic | Rightsline | Adobe Creative Cloud | Salesforce,"Medium: creative tooling is mature, but rights, production finance, and revenue reporting remain fragmented.",Streaming economics reset; labor/union dynamics; advertising softness; global rights complexity; IP concentration.,Rights metadata fragmentation; manual royalty accounting; poor production-to-finance integration; title-level profitability latency.,Low-Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/programs-surveys/aies/about.html | https://www.census.gov/programs-surveys/sas/about.html,
50,"Electrical equipment, appliances, and components",20,202105,82467,-0.1,$0.20T gross output; $0.08T value added (BEA 2025),"Discrete manufacturing of electrical systems and components; economics depend on design cycles, supplier reliability, channel execution, and aftermarket support.",Engineering and product lifecycle management | Supplier scheduling | Assembly/test | Compliance/certification | Channel and service support,SAP | Oracle | Siemens Teamcenter | PTC Windchill | Plex,"Medium: enterprise systems are common, but product, plant, and channel data often remain disconnected.",Electrification demand shifts; component shortages; safety/regulatory requirements; channel inventory swings; tariff exposure.,Engineering change friction; weak channel inventory visibility; certification paperwork; service feedback not tightly looped into design.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.census.gov/programs-surveys/aies/about.html,
