rank_2025_gross_output,industry_name,bea_table_line,gross_output_2025_usd_mn,value_added_2025_usd_mn,q1_2026_real_go_change_pct_saar,economic_size_summary,canonical_operating_system,canonical_workflow_family_1,canonical_workflow_1,canonical_workflow_family_2,canonical_workflow_2,canonical_workflow_family_3,canonical_workflow_3,canonical_workflow_family_4,canonical_workflow_4,canonical_workflow_family_5,canonical_workflow_5,canonical_workflows,canonical_workflow_families,systems_of_record_categories,phase_1b_validation_status,phase_1b_missing_fields,operating_model_observation,core_workflows_observation,systems_of_record_map,technology_maturity_assessment,structural_pressures_observation,inefficiency_signals_observation,evidence_quality_confidence,source_links,hypothesis_notes
29,Legal services,67,525319,421874,-3.7,$0.53T gross output; $0.42T value added (BEA 2025),Professional Services and Matter Management,"Access, Intake, and Contracting",Matter Intake and Conflict Review,Workforce and Labor Operations,Staffing and Task Management,"Product, Content, and Engineering",Document and Knowledge Management,Finance and Revenue Operations,Time and Expense Capture,"Risk, Compliance, and Reporting",Docketing and Compliance Tracking,Matter Intake and Conflict Review | Staffing and Task Management | Document and Knowledge Management | Time and Expense Capture | Docketing and Compliance Tracking,"Access, Intake, and Contracting | Workforce and Labor Operations | Product, Content, and Engineering | Finance and Revenue Operations | Risk, Compliance, and Reporting",Document Management | Practice Management and Billing | CRM,Complete,,"Professional-services model monetizing matters, retainers, billable hours, and outcome-based specialty work.",Matter intake and conflicts | Staffing and tasking | Document/work-product management | Time capture and billing | Docketing/compliance tracking,iManage | NetDocuments | Thomson Reuters Elite | Clio | Litera,"Medium: document and billing tools are established, but workflow automation and knowledge reuse remain uneven.",Rate pressure from clients; AI-assisted drafting; alternative legal service providers; compliance and privacy demands.,Manual matter setup; poor knowledge retrieval; delayed time capture; fragmented outside-counsel reporting.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/programs-surveys/aies/about.html | https://www.census.gov/programs-surveys/sas/about.html,
30,Educational services,75,519889,347194,-0.5,$0.52T gross output; $0.35T value added (BEA 2025),Education Delivery and Administration,"Access, Intake, and Contracting",Admissions and Enrollment,Workforce and Labor Operations,Scheduling and Staffing,Delivery and Service Execution,Instruction Delivery,Customer and Experience Operations,Student Service and Retention Management,Finance and Revenue Operations,"Billing, Aid, and Regulatory Reporting","Admissions and Enrollment | Scheduling and Staffing | Instruction Delivery | Student Service and Retention Management | Billing, Aid, and Regulatory Reporting","Access, Intake, and Contracting | Workforce and Labor Operations | Delivery and Service Execution | Customer and Experience Operations | Finance and Revenue Operations",Student Information System | Learning Management System | HCM / Workforce Management | ERP,Complete,,"Tuition- and funding-backed instruction model driven by enrollment, completion, staffing, facilities, and regulatory reporting.",Admissions/enrollment | Scheduling and staffing | Instruction delivery | Student services/retention | Billing/aid and reporting,Ellucian | PowerSchool | Canvas | Workday Student | Blackboard,"Medium: SIS/LMS adoption is broad, but data remains fragmented across academic, financial, and advising workflows.",Demographic enrollment pressure; tuition affordability; online competition; staffing shortages; accountability/reporting demands.,Manual advising handoffs; disconnected SIS/LMS/finance data; low visibility into intervention effectiveness; heavy reporting burden.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://nces.ed.gov/programs/digest/index.asp,
31,Fabricated metal products,17,467454,192851,1.7,$0.47T gross output; $0.19T value added (BEA 2025),Product Manufacturing and Lifecycle Operations,"Access, Intake, and Contracting",Estimating and Quotation,Planning and Allocation,Production Planning,Production and Asset Operations,Shop Floor Execution and Quality Management,"Risk, Compliance, and Reporting",Quality Inspection and Certification,Finance and Revenue Operations,Shipping and Invoice Reconciliation,Estimating and Quotation | Production Planning | Shop Floor Execution and Quality Management | Quality Inspection and Certification | Shipping and Invoice Reconciliation,"Access, Intake, and Contracting | Planning and Allocation | Production and Asset Operations | Risk, Compliance, and Reporting | Finance and Revenue Operations",ERP | Manufacturing Execution System | Shop Floor Control and Quality,Complete,,"Discrete manufacturing of engineered metal components; economics depend on quoting accuracy, machine utilization, scrap control, and on-time delivery.",RFQ/estimating | Production planning | Shop-floor execution | Quality inspection | Shipping and invoice reconciliation,Epicor | Infor | SAP | Plex | JobBOSS,"Medium: strong ERP/MES options exist, but many firms remain fragmented across machines, QC, and scheduling.",Energy/material cost swings; reshoring demand; labor scarcity; OEM quality requirements; shorter lead-time expectations.,Spreadsheet scheduling; poor WIP visibility; quoting drift; manual quality paperwork; slow root-cause loops.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.census.gov/programs-surveys/aies/about.html,
32,Oil and gas extraction,7,454559,231439,-1.6,$0.45T gross output; $0.23T value added (BEA 2025),Field Production and Resource Extraction,Planning and Allocation,Asset and Reserve Evaluation,Planning and Allocation,Field Development Planning,Production and Asset Operations,Production Operations,Network and Transportation Operations,Midstream Coordination,Finance and Revenue Operations,Revenue and Regulatory Reporting,Asset and Reserve Evaluation | Field Development Planning | Production Operations | Midstream Coordination | Revenue and Regulatory Reporting,Planning and Allocation | Planning and Allocation | Production and Asset Operations | Network and Transportation Operations | Finance and Revenue Operations,Upstream Energy Management | Production Accounting and Regulatory | Geoscience and Reservoir Management | ERP,Complete,,"Reservoir development and production model monetizing hydrocarbon output; economics hinge on acreage quality, drilling/completion efficiency, and realized pricing.",Lease/geology evaluation | Drilling and completion planning | Production operations | Midstream coordination | Revenue and regulatory reporting,Enverus | SLB Delfi | Halliburton Landmark | SAP | Quorum,"Medium-High: subsurface and field systems are strong, but cross-operator data and manual reporting remain common.",Commodity-price volatility; methane/emissions scrutiny; service-cost inflation; acreage quality depletion; capital discipline.,Disconnected field and accounting data; manual land/regulatory workflows; production/revenue reconciliation friction.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.eia.gov/energyexplained/natural-gas/index.php | https://www.eia.gov/energyexplained/natural-gas/data-and-statistics.php,
33,Machinery,18,448315,205135,-0.5,$0.45T gross output; $0.21T value added (BEA 2025),Product Manufacturing and Lifecycle Operations,"Product, Content, and Engineering",Product and Engineering Configuration,Sourcing and Supply,Supplier Scheduling and Procurement,Production and Asset Operations,Assembly and Test,Delivery and Service Execution,Logistics and Channel Fulfillment,Customer and Experience Operations,Aftermarket Service and Field Support,Product and Engineering Configuration | Supplier Scheduling and Procurement | Assembly and Test | Logistics and Channel Fulfillment | Aftermarket Service and Field Support,"Product, Content, and Engineering | Sourcing and Supply | Production and Asset Operations | Delivery and Service Execution | Customer and Experience Operations",ERP | PLM and Engineering Design | Manufacturing Execution System | Maintenance Management,Complete,,"Discrete manufacturing of industrial equipment; economics run through order backlog, engineering reuse, supplier performance, and aftermarket revenue.",Product configuration/engineering | Supplier scheduling | Assembly and test | Dealer/OEM logistics | Service parts and field support,SAP | Oracle | Siemens Teamcenter | PTC Windchill | Rockwell FactoryTalk,"Medium-High: PLM/ERP layers are mature, but configure-to-order and service data are often disconnected.",Capex cycles; supplier reliability; automation demand; product complexity; service-margin expectations.,BOM/version errors; engineering-to-production handoff friction; spare-parts forecasting gaps; field-service feedback not reused well.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.census.gov/programs-surveys/aies/about.html,
34,Other transportation equipment,22,438121,210259,12.4,$0.44T gross output; $0.21T value added (BEA 2025),Product Manufacturing and Lifecycle Operations,Planning and Allocation,Program and Platform Planning,Sourcing and Supply,Supplier Coordination and Compliance,Production and Asset Operations,"Assembly, Test, and Certification",Delivery and Service Execution,Delivery and Contract Milestone Management,Customer and Experience Operations,Aftermarket Service and Field Support,"Program and Platform Planning | Supplier Coordination and Compliance | Assembly, Test, and Certification | Delivery and Contract Milestone Management | Aftermarket Service and Field Support",Planning and Allocation | Sourcing and Supply | Production and Asset Operations | Delivery and Service Execution | Customer and Experience Operations,ERP | PLM and Engineering Design | Project and Construction Management,Complete,,"Program-based manufacturing of aerospace, rail, marine, and defense transport systems; economics depend on certification, quality, schedule, and long-cycle contracts.",Program planning | Supplier and compliance management | Assembly/test/certification | Delivery and contract milestones | Aftermarket/service support,SAP | Oracle | Dassault 3DEXPERIENCE | Siemens Teamcenter | IFS,"Medium-High: engineering and program systems are strong, but supplier and documentation complexity remain large.",Defense/aviation demand shifts; certification burden; supply-chain fragility; cost overruns; workforce specialization shortages.,Document-control bottlenecks; slow nonconformance closure; multi-tier supplier visibility gaps; milestone billing complexity.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.bts.gov/topics/transportation-and-economy,
35,Computer and electronic products,19,433852,318028,-2.1,$0.43T gross output; $0.32T value added (BEA 2025),Product Manufacturing and Lifecycle Operations,Planning and Allocation,Demand and Allocation Planning,"Product, Content, and Engineering",Engineering Change Management,Production and Asset Operations,Shop Floor Execution and Quality Management,"Risk, Compliance, and Reporting",Quality and Traceability Management,Delivery and Service Execution,Logistics and Channel Fulfillment,Demand and Allocation Planning | Engineering Change Management | Shop Floor Execution and Quality Management | Quality and Traceability Management | Logistics and Channel Fulfillment,"Planning and Allocation | Product, Content, and Engineering | Production and Asset Operations | Risk, Compliance, and Reporting | Delivery and Service Execution",ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning,Complete,,"High-mix manufacturing of chips, boards, devices, and components; economics hinge on yield, cycle time, capex intensity, and supplier/customer concentration.",Demand and allocation planning | Engineering change control | Fab/assembly/test execution | Quality and traceability | Channel/OEM fulfillment,SAP | Oracle | Siemens Opcenter | Cadence | Synopsys,"High in technical production environments, medium in end-to-end commercial and supply-chain integration.",Semiconductor geopolitics; rapid product cycles; customer concentration; capex burden; inventory whiplash.,Engineering/version mismatches; constrained component visibility; excess-expedite costs; fragmented traceability across tiers.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.census.gov/programs-surveys/aies/about.html,
36,Accommodation,86,385288,269545,3.4,$0.39T gross output; $0.27T value added (BEA 2025),"Venue, Hospitality, and Attendance Operations","Access, Intake, and Contracting",Reservation and Distribution Management,Planning and Allocation,Revenue Management,Delivery and Service Execution,Front Desk and Housekeeping Operations,Customer and Experience Operations,Maintenance and Guest Service,Finance and Revenue Operations,Night Audit and Owner Reporting,Reservation and Distribution Management | Revenue Management | Front Desk and Housekeeping Operations | Maintenance and Guest Service | Night Audit and Owner Reporting,"Access, Intake, and Contracting | Planning and Allocation | Delivery and Service Execution | Customer and Experience Operations | Finance and Revenue Operations",Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP,Complete,,"Occupancy-driven lodging model monetizing room nights, group/event demand, ancillaries, and revenue management.",Distribution and reservations | Revenue management | Front-desk/housekeeping operations | Maintenance and guest service | Night audit and owner reporting,Oracle OPERA | Amadeus | Mews | Infor HMS | Cloudbeds,"Medium-High: PMS/CRS tools are mature, but labor, maintenance, and owner-operator data are still fragmented.",Travel-demand cyclicality; OTA power; labor shortages; property insurance/capex needs; guest-experience expectations.,Channel-management errors; housekeeping coordination friction; maintenance backlog visibility gaps; manual group/event reconciliation.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/retail/mrts/about_the_surveys.html | https://www.census.gov/programs-surveys/aies/about.html,
37,Nursing and residential care facilities,79,374918,227413,2.2,$0.37T gross output; $0.23T value added (BEA 2025),Care Delivery and Reimbursement,"Access, Intake, and Contracting","Access, Admissions, and Throughput Management",Workforce and Labor Operations,Workforce Scheduling,Clinical and Case Operations,Clinical Documentation,Clinical and Case Operations,Medication and Compliance Management,Finance and Revenue Operations,"Billing, Claims, and Collections","Access, Admissions, and Throughput Management | Workforce Scheduling | Clinical Documentation | Medication and Compliance Management | Billing, Claims, and Collections","Access, Intake, and Contracting | Workforce and Labor Operations | Clinical and Case Operations | Clinical and Case Operations | Finance and Revenue Operations",EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,Complete,,"Occupancy and reimbursement model for long-term and post-acute care; economics depend on staffing, acuity, compliance, and collections.",Admissions and census management | Care staffing | Clinical documentation | Medication/compliance workflows | Billing and payer collections,PointClickCare | MatrixCare | Netsmart | WellSky | Epic,"Medium: core care platforms are common, but staffing and reimbursement workflows remain fragile.",Caregiver shortages; reimbursement pressure; survey/compliance risk; rising acuity; occupancy mix shifts.,Manual staffing adjustments; disconnected clinical/financial data; claim denials; cumbersome handoffs with hospitals and families.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet | https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/historical,
38,Social assistance,80,373362,249466,0.3,$0.37T gross output; $0.25T value added (BEA 2025),Case Management and Program Administration,"Access, Intake, and Contracting",Intake and Eligibility Determination,Clinical and Case Operations,Case Planning,Clinical and Case Operations,Service Delivery and Referral Coordination,"Risk, Compliance, and Reporting",Documentation and Compliance Management,Finance and Revenue Operations,"Billing, Grant Reporting, and Reimbursement","Intake and Eligibility Determination | Case Planning | Service Delivery and Referral Coordination | Documentation and Compliance Management | Billing, Grant Reporting, and Reimbursement","Access, Intake, and Contracting | Clinical and Case Operations | Clinical and Case Operations | Risk, Compliance, and Reporting | Finance and Revenue Operations",Case Management System | CRM | Grant and Program Reporting | Referral Management,Complete,,"Case- and program-based human-services model funded by government, payers, and philanthropy; economics depend on caseload, staffing, compliance, and reimbursement/contract discipline.",Intake and eligibility | Case planning | Service delivery and referrals | Documentation/compliance | Billing/grant reporting,Netsmart | WellSky | Salesforce | Eccovia | Apricot,Medium-Low: many providers remain dependent on fragmented nonprofit/public-sector tooling and manual casework.,Funding uncertainty; rising caseload complexity; workforce burnout; reporting burden; cross-agency coordination needs.,Repeated client intake; poor referral tracking; grant/reporting duplication; limited outcome visibility across programs.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/historical | https://www.census.gov/programs-surveys/aies/about.html,
39,Other transportation and support activities,47,365801,226000,12.4,$0.37T gross output; $0.23T value added (BEA 2025),Transportation Network Operations,"Access, Intake, and Contracting",Load Intake and Booking,Network and Transportation Operations,Carrier Coordination and Brokerage,Network and Transportation Operations,Terminal and Yard Operations,Network and Transportation Operations,Exception Management,Finance and Revenue Operations,Freight Audit and Settlement,Load Intake and Booking | Carrier Coordination and Brokerage | Terminal and Yard Operations | Exception Management | Freight Audit and Settlement,"Access, Intake, and Contracting | Network and Transportation Operations | Network and Transportation Operations | Network and Transportation Operations | Finance and Revenue Operations",Transportation Management System | Fleet Telematics and Visibility | ERP,Complete,,"Intermediation and network-support model across freight brokerage, forwarding, terminals, and transport coordination; economics depend on utilization, routing, and exception handling.",Load/booking intake | Carrier/vendor coordination | Terminal/yard execution | Exception tracking | Freight audit and settlement,Descartes | CargoWise | McLeod | Oracle Transportation Management | project44,"Medium: strong point solutions exist, but cross-party workflows still require heavy manual coordination.",Shipper visibility demands; margin compression in brokerage; customs/security complexity; port and terminal disruption risk.,Email/phone exception management; document handoffs; weak multimodal visibility; billing disputes and delayed status updates.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.bts.gov/topics/transportation-and-economy | https://data.bts.gov/Research-and-Statistics/Transportation-Economic-Trends-TET-data/tcq5-4pgu,
40,Food and beverage stores,37,360912,241266,-14,$0.36T gross output; $0.24T value added (BEA 2025),Retail and Service Commerce,Planning and Allocation,Merchandising and Assortment Planning,Production and Asset Operations,Inventory and Perishables Management,Customer and Experience Operations,Point-of-Sale and Loyalty Operations,Workforce and Labor Operations,Workforce Scheduling,Finance and Revenue Operations,Margin and Shrink Management,Merchandising and Assortment Planning | Inventory and Perishables Management | Point-of-Sale and Loyalty Operations | Workforce Scheduling | Margin and Shrink Management,Planning and Allocation | Production and Asset Operations | Customer and Experience Operations | Workforce and Labor Operations | Finance and Revenue Operations,POS and Payments | ERP | Supply Chain Planning | Warehouse Management System,Complete,,"Inventory-turn and perishables retail model driven by traffic, basket size, shrink control, fresh supply-chain execution, and labor productivity.",Assortment and replenishment | Fresh/perishables handling | POS and loyalty operations | Labor scheduling | Shrink and margin control,NCR Voyix | Oracle Retail | SAP | Manhattan Associates | Instacart enterprise tools,"Medium-High: store systems are mature, but perishables planning and omnichannel margin visibility remain hard.",Food inflation volatility; labor shortages; e-grocery economics; shrink; private-label competition.,Spoilage/waste; manual fresh ordering; split pickup/delivery/store data; promotion leakage.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/retail/mrts/about_the_surveys.html,
41,"Performing arts, spectator sports, museums, and related activities",83,346556,211483,3.3,$0.35T gross output; $0.21T value added (BEA 2025),"Venue, Hospitality, and Attendance Operations",Planning and Allocation,Programming and Event Planning,"Access, Intake, and Contracting",Ticketing and Pricing,Delivery and Service Execution,Venue and Staff Operations,"Access, Intake, and Contracting",Sponsorship and Donor Management,Finance and Revenue Operations,Event Settlement and Reporting,Programming and Event Planning | Ticketing and Pricing | Venue and Staff Operations | Sponsorship and Donor Management | Event Settlement and Reporting,"Planning and Allocation | Access, Intake, and Contracting | Delivery and Service Execution | Access, Intake, and Contracting | Finance and Revenue Operations",Ticketing and Venue Management | CRM | Event and Donor Management,Complete,,"Attendance, rights, sponsorship, and programming-yield model monetizing tickets, memberships, events, and ancillary spend.",Programming and event planning | Ticketing and pricing | Venue/staff operations | Sponsorship and donor management | Post-event settlement/reporting,Ticketmaster/Live Nation | Tessitura | AudienceView | Salesforce | Eventbrite,"Medium: ticketing is mature, but sponsorship, donor, venue, and operations data are often siloed.",Attendance volatility; sponsorship pressure; content/artist costs; venue utilization risk; digital engagement expectations.,Scattered patron data; manual event operations; weak forecasting by show/event; fragmented sponsor reporting.,Low-Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/programs-surveys/aies/about.html | https://www.census.gov/programs-surveys/sas/about.html,
42,Air transportation,41,341492,184966,3.1,$0.34T gross output; $0.18T value added (BEA 2025),Transportation Network Operations,Network and Transportation Operations,Network and Schedule Planning,Network and Transportation Operations,Crew and Fleet Assignment,Planning and Allocation,Revenue Management,Network and Transportation Operations,Operational Recovery and Disruption Management,Finance and Revenue Operations,Loyalty and Settlement Accounting,Network and Schedule Planning | Crew and Fleet Assignment | Revenue Management | Operational Recovery and Disruption Management | Loyalty and Settlement Accounting,Network and Transportation Operations | Network and Transportation Operations | Planning and Allocation | Network and Transportation Operations | Finance and Revenue Operations,Airline Operations and Reservations | Revenue Management Platform | ERP,Complete,,"Network yield-management model monetizing seat miles, cargo capacity, ancillaries, and fleet utilization under tight safety and slot constraints.",Network and schedule planning | Crew/fleet assignment | Revenue management | Ground ops and disruption recovery | Settlement/loyalty accounting,Sabre | Amadeus | Navitaire | Lufthansa Systems | IBM,"Medium-High: reservation and operational systems are mature, but disruption recovery and customer-service integration remain complex.",Fuel and labor costs; ATC/airport constraints; weather disruption; sustainability pressure; loyalty economics.,Irregular-ops recovery complexity; disconnected customer and ops systems; crew/schedule manual overrides; settlement disputes.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.bts.gov/topics/transportation-and-economy | https://data.bts.gov/Research-and-Statistics/Transportation-Economic-Trends-TET-data/tcq5-4pgu,
43,General merchandise stores,38,315464,231201,-27.4,$0.32T gross output; $0.23T value added (BEA 2025),Retail and Service Commerce,Planning and Allocation,Merchandising and Assortment Planning,Planning and Allocation,Inventory Allocation and Replenishment,Delivery and Service Execution,Order Orchestration and Fulfillment,Workforce and Labor Operations,Store Labor Execution,Customer and Experience Operations,Returns and Markdown Management,Merchandising and Assortment Planning | Inventory Allocation and Replenishment | Order Orchestration and Fulfillment | Store Labor Execution | Returns and Markdown Management,Planning and Allocation | Planning and Allocation | Delivery and Service Execution | Workforce and Labor Operations | Customer and Experience Operations,Commerce Platform | ERP | Order Management System | Warehouse Management System | Supply Chain Planning,Complete,,"High-volume omnichannel retail model built on traffic, assortment breadth, inventory flow, and last-mile economics.",Assortment/category planning | Replenishment and DC flow | POS/e-commerce order orchestration | Store labor and shelf execution | Returns and markdown management,Oracle Retail | SAP | Manhattan Associates | Salesforce Commerce Cloud | Blue Yonder,"Medium-High: large players run sophisticated stacks, but omnichannel margin attribution is still difficult.",Marketplace competition; store labor pressure; shrink; fulfillment-cost inflation; assortment complexity.,Inventory discrepancies; markdown timing errors; split order management; weak end-to-end profitability visibility.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/retail/mrts/about_the_surveys.html,
44,Primary metals,16,310936,77714,-12.9,$0.31T gross output; $0.08T value added (BEA 2025),Process Manufacturing and Throughput Control,Sourcing and Supply,Material Sourcing,Production and Asset Operations,Production Planning and Process Control,Production and Asset Operations,Asset Maintenance and Uptime Management,"Risk, Compliance, and Reporting",Quality Inspection and Certification,Delivery and Service Execution,Order Management and Fulfillment,Material Sourcing | Production Planning and Process Control | Asset Maintenance and Uptime Management | Quality Inspection and Certification | Order Management and Fulfillment,"Sourcing and Supply | Production and Asset Operations | Production and Asset Operations | Risk, Compliance, and Reporting | Delivery and Service Execution",ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality,Complete,,"Process manufacturing converting ore and scrap into metal stock; economics depend on energy intensity, feedstock cost, yield, and downstream demand.",Feedstock sourcing | Melt/cast/roll scheduling | Maintenance and asset uptime | Quality and certification | Order fulfillment,SAP | Oracle | AVEVA | AspenTech | OSIsoft PI,"Medium: heavy industrial systems are mature, but plant-to-enterprise integration is still inconsistent.",Energy prices; tariffs and trade flows; decarbonization pressure; cyclical industrial demand; scrap/raw-material availability.,Siloed process and commercial data; unplanned downtime; manual certification paperwork; weak margin-by-order visibility.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.eia.gov/energyexplained/use-of-energy/,
45,Plastics and rubber products,33,299217,101395,2.2,$0.30T gross output; $0.10T value added (BEA 2025),Product Manufacturing and Lifecycle Operations,Sourcing and Supply,Material Sourcing,Planning and Allocation,Production Planning,Production and Asset Operations,Tooling and Machine Execution,"Risk, Compliance, and Reporting",Quality and Compliance Management,Delivery and Service Execution,Logistics and Channel Fulfillment,Material Sourcing | Production Planning | Tooling and Machine Execution | Quality and Compliance Management | Logistics and Channel Fulfillment,"Sourcing and Supply | Planning and Allocation | Production and Asset Operations | Risk, Compliance, and Reporting | Delivery and Service Execution",ERP | Manufacturing Execution System | PLM and Engineering Design | Shop Floor Control and Quality,Complete,,"Process and discrete manufacturing of polymer-based materials and parts; economics depend on resin inputs, throughput, tooling, and quality.",Resin/material procurement | Production planning | Tooling and machine execution | Quality/compliance | OEM/customer fulfillment,SAP | Infor | Epicor | Plex | Siemens Opcenter,"Medium: core plant and ERP systems exist, but scheduling, scrap, and quality data are often fragmented.",Resin volatility; sustainability/recycled-content demands; OEM quality scrutiny; labor and tooling constraints.,Scrap/rework opacity; poor mold/tool utilization visibility; manual quality logging; customer-spec change friction.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.census.gov/programs-surveys/aies/about.html,
46,"Funds, trusts, and other financial vehicles",59,283042,39160,4.9,$0.28T gross output; $0.04T value added (BEA 2025),Capital Markets and Investment Management,"Access, Intake, and Contracting",Fund Onboarding and Setup,Governance and Portfolio Operations,Fund Accounting,Governance and Portfolio Operations,"Valuation, NAV, and Reconciliation",Governance and Portfolio Operations,Investor Reporting,"Risk, Compliance, and Reporting",Compliance and Service-Provider Oversight,"Fund Onboarding and Setup | Fund Accounting | Valuation, NAV, and Reconciliation | Investor Reporting | Compliance and Service-Provider Oversight","Access, Intake, and Contracting | Governance and Portfolio Operations | Governance and Portfolio Operations | Governance and Portfolio Operations | Risk, Compliance, and Reporting",Fund Administration and Accounting | Portfolio and Order Management | Reconciliation and Reporting | Investor Reporting and Performance,Complete,,"Pooled-capital management model monetizing management and performance fees on entrusted assets across funds, trusts, and structured vehicles.",Fund setup/onboarding | Portfolio accounting | Valuation/NAV and reconciliation | Investor reporting | Compliance and service-provider oversight,BlackRock Aladdin | SimCorp | SS&C | Clearwater | State Street Alpha,"High in core accounting/administration, medium in cross-provider transparency and exception management.",Fee pressure; reporting transparency demands; alternative-asset complexity; regulatory scrutiny; service-provider concentration.,Manual reconciliation with custodians/admins; slow NAV exception resolution; fragmented investor and portfolio data.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.sec.gov/data-research/statistics-data-visualizations/registered-investment-companies-statistics | https://www.sec.gov/data-research/sec-markets-data/information-about-registered-investment-advisers-exempt-reporting-advisers,
