workflow_name,workflow_family,operating_systems,industries_using_this_workflow,industry_count,primary_structural_failure_code,primary_structural_failure_name,secondary_structural_failure_codes,secondary_structural_failure_names,all_selected_failure_codes,all_selected_failure_names,selected_failure_score_breakdown,full_score_breakdown,dominant_root_cause,economic_leakage_summary,time_leakage_summary,human_judgment_summary,system_of_record_escape_summary,why_it_persists_summary,workflow_document
Compliance and Service-Provider Oversight,"Risk, Compliance, and Reporting",Capital Markets and Investment Management,"Funds, trusts, and other financial vehicles",1,SF-07,Compliance and Evidence Burden,SF-03 | SF-01,Decision Context Escapes the Record | Exception-Path Breakdown,SF-07 | SF-03 | SF-01,Compliance and Evidence Burden | Decision Context Escapes the Record | Exception-Path Breakdown,SF-07:26.0 | SF-03:12.0 | SF-01:7.0,SF-07:26.0 | SF-03:12.0 | SF-01:7.0 | SF-02:6.0 | SF-04:4.0 | SF-08:1.5,Regulatory,"Late or weak reporting creates fines, reserve exposure, rework, and management blind spots.","Teams manually stitch files, request attestations, and chase evidence for every cycle.","Control owners still decide what is material, what is remediated, and what can be tolerated temporarily.","Supporting evidence sits in attachments, spreadsheets, emails, and external filing systems.","The form of the report may be standardized, but the data lineage and exception handling still are not. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/compliance-and-service-provider-oversight.md
Content and Service Operations,Delivery and Service Execution,Network Infrastructure Operations,Broadcasting and telecommunications,1,SF-03,Decision Context Escapes the Record,SF-06 | SF-05,Plan vs. Reality Divergence | Handoff and Approval Latency,SF-03 | SF-06 | SF-05,Decision Context Escapes the Record | Plan vs. Reality Divergence | Handoff and Approval Latency,SF-03:11.0 | SF-06:10.0 | SF-05:7.0,SF-03:11.0 | SF-06:10.0 | SF-05:7.0 | SF-01:4.0 | SF-04:3.0 | SF-02:1.0,Legacy Architecture,"Leakage comes from rework, poor sequencing, missed milestones, overtime, spoilage, and avoidable service failures.","Execution teams lose time on missing inputs, waiting, field coordination, status chasing, and exception resolution.","Supervisors and frontline operators continually rebalance priorities, constraints, and real-world conditions.","Actual execution is coordinated through calls, whiteboards, texts, and local spreadsheets when reality moves faster than the system.","The workflow changes minute to minute based on field conditions, dependencies, and incomplete telemetry across teams and vendors. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/content-and-service-operations.md
Contract and Margin Management,Finance and Revenue Operations,Process Manufacturing and Throughput Control,Chemical products,1,SF-01,Exception-Path Breakdown,SF-03 | SF-02,Decision Context Escapes the Record | Cross-System Reconciliation,SF-01 | SF-03 | SF-02,Exception-Path Breakdown | Decision Context Escapes the Record | Cross-System Reconciliation,SF-01:20.5 | SF-03:14.0 | SF-02:10.0,SF-01:20.5 | SF-03:14.0 | SF-02:10.0 | SF-08:9.0 | SF-04:6.0 | SF-07:5.0,Legacy Architecture,"Missed charges, denial cycles, underbilling, and slow cash application are the primary leakage points.","Teams repeatedly reconcile source evidence, payer rules, and customer-specific exceptions.","Operators interpret contract nuance, collection strategy, and what evidence is enough to close the item.","Collections context and exception history often live in email, payer portals, and spreadsheets outside the core system.","Automation handles the clean path, but exceptions are driven by messy upstream data and contract interpretation. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/contract-and-margin-management.md
Credit Underwriting and Servicing,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",1,SF-03,Decision Context Escapes the Record,SF-04 | SF-05,Human Judgment Under Incomplete Information | Handoff and Approval Latency,SF-03 | SF-04 | SF-05,Decision Context Escapes the Record | Human Judgment Under Incomplete Information | Handoff and Approval Latency,SF-03:18.0 | SF-04:9.5 | SF-05:9.0,SF-03:18.0 | SF-04:9.5 | SF-05:9.0 | SF-02:7.0 | SF-07:4.0 | SF-01:3.0,Regulatory,"Leakage appears through slow decisioning, avoidable losses, poor collections, and high manual servicing cost.","Banking teams chase documents, reconcile exposures, and move work across front, middle, and back office queues.","Risk appetite, borrower quality, and workout strategy still rely heavily on expert human judgment.","Core context moves into credit memos, committee notes, shared spreadsheets, and email threads outside the core record.","Core systems are mature, but cross-functional credit work remains document-heavy and policy-sensitive. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/credit-underwriting-and-servicing.md
Crew and Fleet Assignment,Network and Transportation Operations,Transportation Network Operations,Air transportation,1,SF-06,Plan vs. Reality Divergence,SF-08 | SF-03,Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record,SF-06 | SF-08 | SF-03,Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record,SF-06:18.0 | SF-08:13.5 | SF-03:6.0,SF-06:18.0 | SF-08:13.5 | SF-03:6.0 | SF-04:5.0 | SF-01:1.0 | SF-05:1.0,Technical,"The biggest leaks are empty capacity, bad routing, detention, and poor network utilization.","Dispatchers lose time chasing status, making call-based updates, and rerouting around late disruptions.",Controllers interpret service priorities and real-world constraints faster than static optimization models.,"Carrier calls, texts, and manual route notes remain central to live execution.","Network state changes in real time and often depends on partner data that is late, partial, or nonstandard. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/crew-and-fleet-assignment.md
Customer Acquisition and Onboarding,"Access, Intake, and Contracting",Digital Platform and Subscription Operations,"Data processing, internet publishing, and other information services",1,SF-05,Handoff and Approval Latency,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05 | SF-04 | SF-03,Handoff and Approval Latency | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05:22.0 | SF-04:19.5 | SF-03:17.5,SF-05:22.0 | SF-04:19.5 | SF-03:17.5 | SF-07:12.0 | SF-01:9.0 | SF-08:3.5 | SF-02:2.0,Regulatory,"Slow onboarding delays revenue start dates and increases abandonment, while weak controls raise risk and rework.","Teams chase documents, approvals, signatures, and duplicate data entry across systems.","Analysts still judge risk, beneficial ownership complexity, and what counts as a satisfactory exception path.","Onboarding packets, emails, shared checklists, and external verification portals carry the real process state.","Verification is partly automatable, but high-value or high-risk relationships still require context-heavy review and layered approvals. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/customer-acquisition-and-onboarding.md
Customer Retention and Remarketing,Customer and Experience Operations,Retail and Service Commerce,Motor vehicle and parts dealers,1,SF-03,Decision Context Escapes the Record,SF-04,Human Judgment Under Incomplete Information,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-03:16.0 | SF-04:12.5,SF-03:16.0 | SF-04:12.5 | SF-01:1.0,Behavioral,"Late risk detection, weak expansion discipline, and reactive renewal handling erode retention economics.","Teams assemble context manually across service records, invoices, and relationship notes before every renewal conversation.","Renewal strategy depends on relationship strength, future potential, and nuanced commercial tradeoffs.","The decisive conversations happen in calls, emails, and side planning decks outside the system of record.",Signals are fragmented and the most important retention decisions are strategic rather than purely operational. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/customer-retention-and-remarketing.md
Customer Retention and Repeat Service,Customer and Experience Operations,Workforce Coordination and Service Operations,"Other services, except government",1,SF-03,Decision Context Escapes the Record,SF-04,Human Judgment Under Incomplete Information,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-03:16.0 | SF-04:12.5,SF-03:16.0 | SF-04:12.5 | SF-01:1.0,Behavioral,"Late risk detection, weak expansion discipline, and reactive renewal handling erode retention economics.","Teams assemble context manually across service records, invoices, and relationship notes before every renewal conversation.","Renewal strategy depends on relationship strength, future potential, and nuanced commercial tradeoffs.","The decisive conversations happen in calls, emails, and side planning decks outside the system of record.",Signals are fragmented and the most important retention decisions are strategic rather than purely operational. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/customer-retention-and-repeat-service.md
Customer Service and Field Response,Customer and Experience Operations,Network Infrastructure Operations,Utilities,1,SF-04,Human Judgment Under Incomplete Information,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-04 | SF-01 | SF-03,Human Judgment Under Incomplete Information | Exception-Path Breakdown | Decision Context Escapes the Record,SF-04:16.0 | SF-01:14.0 | SF-03:9.0,SF-04:16.0 | SF-01:14.0 | SF-03:9.0 | SF-05:9.0 | SF-02:1.0,Legacy Architecture,"Repeat contacts, credits, field callbacks, and unresolved issues raise support cost and churn risk.",Agents and operations teams waste time on status chasing and duplicate handoffs.,"Good service recovery depends on empathy, prioritization, and contextual interpretation.","The most important context often lives in conversations, notes, and side chats rather than system fields.","Support flows cross channels and teams, and the edge cases that matter most remain unstructured. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/customer-service-and-field-response.md
Customer Support and Success,Customer and Experience Operations,"IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",1,SF-04,Human Judgment Under Incomplete Information,SF-01 | SF-05,Exception-Path Breakdown | Handoff and Approval Latency,SF-04 | SF-01 | SF-05,Human Judgment Under Incomplete Information | Exception-Path Breakdown | Handoff and Approval Latency,SF-04:16.0 | SF-01:14.0 | SF-05:10.0,SF-04:16.0 | SF-01:14.0 | SF-05:10.0 | SF-03:8.0 | SF-08:1.0,Organizational,"Repeat contacts, credits, field callbacks, and unresolved issues raise support cost and churn risk.",Agents and operations teams waste time on status chasing and duplicate handoffs.,"Good service recovery depends on empathy, prioritization, and contextual interpretation.","The most important context often lives in conversations, notes, and side chats rather than system fields.","Support flows cross channels and teams, and the edge cases that matter most remain unstructured. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/customer-support-and-success.md
Delivery and Contract Milestone Management,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations,Other transportation equipment,1,SF-03,Decision Context Escapes the Record,SF-04,Human Judgment Under Incomplete Information,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-03:14.0 | SF-04:7.0,SF-03:14.0 | SF-04:7.0 | SF-06:4.0 | SF-01:3.0 | SF-05:2.0 | SF-02:1.0,Legacy Architecture,"Leakage comes from scope creep, underutilization, write-offs, and late recognition of delivery risk.","Project teams spend time aligning resources, updating status manually, and reconciling effort with customer expectations.","Project health still depends on leadership judgment around sequencing, risk, and stakeholder management.","The real state of the project lives in meetings, comments, decks, and side trackers beyond the PSA or project tool.","Project work is inherently exception-heavy and relationship-driven, which prevents full straight-through execution. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/delivery-and-contract-milestone-management.md
Demand Planning,Planning and Allocation,Distribution and Trade Operations | Process Manufacturing and Throughput Control,Wholesale trade | Food and beverage and tobacco products,2,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-08,Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps,SF-04 | SF-06 | SF-08,Human Judgment Under Incomplete Information | Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps,SF-04:21.5 | SF-06:13.0 | SF-08:8.0,SF-04:21.5 | SF-06:13.0 | SF-08:8.0 | SF-03:6.0 | SF-05:3.0 | SF-01:2.0,Technical,"Forecast error and poor allocation create excess cost, missed revenue, and avoidable firefighting.",Planning teams spend time rebuilding assumptions and chasing sign-off across functions.,Planners still decide which signals to trust and when the model output does not fit local reality.,"Scenario analysis and negotiation happen in spreadsheets, slides, and side conversations.","The hard problem is not math alone; it is aligning noisy signals, local constraints, and organizational trust. It typically spans 2 operating-system contexts and 6 systems-of-record categories.",knowledge/research/workflow-library/workflows/demand-planning.md
Demand and Allocation Planning,Planning and Allocation,Product Manufacturing and Lifecycle Operations,Computer and electronic products,1,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-08,Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps,SF-04 | SF-06 | SF-08,Human Judgment Under Incomplete Information | Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps,SF-04:21.5 | SF-06:13.0 | SF-08:8.0,SF-04:21.5 | SF-06:13.0 | SF-08:8.0 | SF-03:6.0 | SF-05:3.0 | SF-01:2.0,Technical,"Forecast error and poor allocation create excess cost, missed revenue, and avoidable firefighting.",Planning teams spend time rebuilding assumptions and chasing sign-off across functions.,Planners still decide which signals to trust and when the model output does not fit local reality.,"Scenario analysis and negotiation happen in spreadsheets, slides, and side conversations.","The hard problem is not math alone; it is aligning noisy signals, local constraints, and organizational trust. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/demand-and-allocation-planning.md
Deposit and Payment Operations,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",1,SF-03,Decision Context Escapes the Record,SF-04 | SF-05,Human Judgment Under Incomplete Information | Handoff and Approval Latency,SF-03 | SF-04 | SF-05,Decision Context Escapes the Record | Human Judgment Under Incomplete Information | Handoff and Approval Latency,SF-03:18.0 | SF-04:9.5 | SF-05:9.0,SF-03:18.0 | SF-04:9.5 | SF-05:9.0 | SF-02:7.0 | SF-07:4.0 | SF-01:3.0,Regulatory,"Leakage appears through slow decisioning, avoidable losses, poor collections, and high manual servicing cost.","Banking teams chase documents, reconcile exposures, and move work across front, middle, and back office queues.","Risk appetite, borrower quality, and workout strategy still rely heavily on expert human judgment.","Core context moves into credit memos, committee notes, shared spreadsheets, and email threads outside the core record.","Core systems are mature, but cross-functional credit work remains document-heavy and policy-sensitive. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/deposit-and-payment-operations.md
Development and Greenlight Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management",Motion picture and sound recording industries,1,SF-03,Decision Context Escapes the Record,SF-02 | SF-04,Cross-System Reconciliation | Human Judgment Under Incomplete Information,SF-03 | SF-02 | SF-04,Decision Context Escapes the Record | Cross-System Reconciliation | Human Judgment Under Incomplete Information,SF-03:10.0 | SF-02:9.0 | SF-04:6.0,SF-03:10.0 | SF-02:9.0 | SF-04:6.0 | SF-05:4.0,Legacy Architecture,"Master-data mistakes and release delays create rework, scrap, missed launch windows, and downstream confusion.","Teams manually synchronize definitions across PLM, ERP, support, and commercial systems.","Tradeoffs among quality, timing, and downstream disruption remain human-led.","Critical rationale and version decisions live in reviews, comments, and docs outside the system of record.","Structured data and collaborative work still sit in separate tools, so version truth remains hard to unify. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/development-and-greenlight-management.md
Dispatch and Checkout,Delivery and Service Execution,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,1,SF-03,Decision Context Escapes the Record,SF-05 | SF-06,Handoff and Approval Latency | Plan vs. Reality Divergence,SF-03 | SF-05 | SF-06,Decision Context Escapes the Record | Handoff and Approval Latency | Plan vs. Reality Divergence,SF-03:8.0 | SF-05:8.0 | SF-06:7.0,SF-03:8.0 | SF-05:8.0 | SF-06:7.0 | SF-04:6.0 | SF-02:1.0 | SF-07:1.0,Legacy Architecture,"Travel waste, revisit rates, change-order misses, and field rework are the main economic leaks.","Crews lose time to waiting, missing parts, unclear scope, and back-and-forth approvals.","Field leads interpret site reality, safety, and customer context in ways that no template fully captures.","Actual field decisions are coordinated over calls, text, and paper notes before systems are updated later.","Field conditions mutate faster than central systems, making local judgment indispensable. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/dispatch-and-checkout.md
Dispatch and Routing,Network and Transportation Operations,Transportation Network Operations,Truck transportation,1,SF-06,Plan vs. Reality Divergence,SF-08 | SF-03,Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record,SF-06 | SF-08 | SF-03,Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record,SF-06:18.0 | SF-08:13.5 | SF-03:6.0,SF-06:18.0 | SF-08:13.5 | SF-03:6.0 | SF-04:5.0 | SF-01:1.0 | SF-05:1.0,Technical,"The biggest leaks are empty capacity, bad routing, detention, and poor network utilization.","Dispatchers lose time chasing status, making call-based updates, and rerouting around late disruptions.",Controllers interpret service priorities and real-world constraints faster than static optimization models.,"Carrier calls, texts, and manual route notes remain central to live execution.","Network state changes in real time and often depends on partner data that is late, partial, or nonstandard. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/dispatch-and-routing.md
Distribution and Quote-to-Bind,"Access, Intake, and Contracting",Risk Underwriting and Claims Administration,Insurance carriers and related activities,1,SF-05,Handoff and Approval Latency,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05 | SF-04 | SF-03,Handoff and Approval Latency | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05:13.0 | SF-04:11.0 | SF-03:6.0,SF-05:13.0 | SF-04:11.0 | SF-03:6.0 | SF-01:3.0 | SF-08:3.0 | SF-06:1.0,Technical,"Leakage comes from underpricing, scope misses, inaccurate assumptions, and change orders that were predictable at quote time.","Estimators wait on inputs, rebuild historical assumptions, and route approvals repeatedly.","Estimators must judge risk, uncertainty, and customer-specific nuance that raw historical data rarely captures cleanly.","The actual pricing narrative often sits in spreadsheets, markups, and offline review threads.","Rules can price the simple path, but profitable quoting still depends on tacit knowledge and cross-functional review. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/distribution-and-quote-to-bind.md
Distribution and Release Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management","Publishing industries, except internet (includes software) | Motion picture and sound recording industries",2,SF-03,Decision Context Escapes the Record,SF-02 | SF-04,Cross-System Reconciliation | Human Judgment Under Incomplete Information,SF-03 | SF-02 | SF-04,Decision Context Escapes the Record | Cross-System Reconciliation | Human Judgment Under Incomplete Information,SF-03:10.0 | SF-02:9.0 | SF-04:6.0,SF-03:10.0 | SF-02:9.0 | SF-04:6.0 | SF-05:4.0,Legacy Architecture,"Master-data mistakes and release delays create rework, scrap, missed launch windows, and downstream confusion.","Teams manually synchronize definitions across PLM, ERP, support, and commercial systems.","Tradeoffs among quality, timing, and downstream disruption remain human-led.","Critical rationale and version decisions live in reviews, comments, and docs outside the system of record.","Structured data and collaborative work still sit in separate tools, so version truth remains hard to unify. It typically spans 1 operating-system context and 6 systems-of-record categories.",knowledge/research/workflow-library/workflows/distribution-and-release-management.md
Distribution and Trade Promotion,Customer and Experience Operations,Process Manufacturing and Throughput Control,Food and beverage and tobacco products,1,SF-04,Human Judgment Under Incomplete Information,,,SF-04,Human Judgment Under Incomplete Information,SF-04:11.0,SF-04:11.0 | SF-03:5.0 | SF-01:1.0 | SF-06:1.0,Technical,"Leakage comes from blunt discounts, poor markdown timing, and channel decisions that shift volume without improving contribution.","Analysts and operators waste time aligning price files, inventory context, and execution timing.","Merchants still interpret local demand, competitor behavior, and brand considerations.","The rationale for overrides often lives in spreadsheets, chats, and field communications.","Optimization helps, but demand signals remain noisy and commercial teams still distrust fully automated rules. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/distribution-and-trade-promotion.md
Docketing and Compliance Tracking,"Risk, Compliance, and Reporting",Professional Services and Matter Management,Legal services,1,SF-07,Compliance and Evidence Burden,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-07 | SF-04 | SF-03,Compliance and Evidence Burden | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-07:23.5 | SF-04:14.0 | SF-03:10.5,SF-07:23.5 | SF-04:14.0 | SF-03:10.5 | SF-01:7.0 | SF-02:1.0,Regulatory,"Failures, recalls, rework, and excess inspection labor are the major leakage points.","Teams repeat data entry, collect evidence manually, and wait on disposition decisions.","Inspectors still interpret severity, traceability gaps, and acceptable release decisions.","Evidence often sits in attachments, lab systems, spreadsheets, and manual checklists outside the main record.","Standards are formal, but real-world deviations and root-cause interpretation remain human-heavy. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/docketing-and-compliance-tracking.md
Document and Knowledge Management,"Product, Content, and Engineering",Professional Services and Matter Management,Legal services,1,SF-03,Decision Context Escapes the Record,SF-05,Handoff and Approval Latency,SF-03 | SF-05,Decision Context Escapes the Record | Handoff and Approval Latency,SF-03:11.5 | SF-05:7.0,SF-03:11.5 | SF-05:7.0 | SF-01:5.0 | SF-02:4.0 | SF-04:4.0 | SF-07:1.0,Legacy Architecture,"Leakage appears through rights misinterpretation, stale documents, missed obligations, and manual rework.",Teams search for the right version and reconcile obligations across disconnected repositories.,"People still interpret contractual nuance, usage rights, and which document version is good enough to act on.","Key commentary and approval history sit in emails, redlines, and shared folders outside the formal index.","The workflow combines unstructured content and structured obligations, which few systems model together well. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/document-and-knowledge-management.md
Documentation and Compliance Management,"Risk, Compliance, and Reporting",Case Management and Program Administration,Social assistance,1,SF-07,Compliance and Evidence Burden,SF-03 | SF-01,Decision Context Escapes the Record | Exception-Path Breakdown,SF-07 | SF-03 | SF-01,Compliance and Evidence Burden | Decision Context Escapes the Record | Exception-Path Breakdown,SF-07:26.0 | SF-03:12.0 | SF-01:7.0,SF-07:26.0 | SF-03:12.0 | SF-01:7.0 | SF-02:6.0 | SF-04:4.0 | SF-08:1.5,Regulatory,"Late or weak reporting creates fines, reserve exposure, rework, and management blind spots.","Teams manually stitch files, request attestations, and chase evidence for every cycle.","Control owners still decide what is material, what is remediated, and what can be tolerated temporarily.","Supporting evidence sits in attachments, spreadsheets, emails, and external filing systems.","The form of the report may be standardized, but the data lineage and exception handling still are not. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/documentation-and-compliance-management.md
Driver Safety and Compliance,"Risk, Compliance, and Reporting",Transportation Network Operations,Truck transportation,1,SF-07,Compliance and Evidence Burden,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-07 | SF-04 | SF-03,Compliance and Evidence Burden | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-07:23.5 | SF-04:14.0 | SF-03:10.5,SF-07:23.5 | SF-04:14.0 | SF-03:10.5 | SF-01:7.0 | SF-02:1.0,Regulatory,"Failures, recalls, rework, and excess inspection labor are the major leakage points.","Teams repeat data entry, collect evidence manually, and wait on disposition decisions.","Inspectors still interpret severity, traceability gaps, and acceptable release decisions.","Evidence often sits in attachments, lab systems, spreadsheets, and manual checklists outside the main record.","Standards are formal, but real-world deviations and root-cause interpretation remain human-heavy. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/driver-safety-and-compliance.md
Eligibility and Authorization,"Access, Intake, and Contracting",Care Delivery and Reimbursement,Ambulatory health care services,1,SF-03,Decision Context Escapes the Record,SF-01 | SF-05,Exception-Path Breakdown | Handoff and Approval Latency,SF-03 | SF-01 | SF-05,Decision Context Escapes the Record | Exception-Path Breakdown | Handoff and Approval Latency,SF-03:15.0 | SF-01:13.0 | SF-05:8.0,SF-03:15.0 | SF-01:13.0 | SF-05:8.0 | SF-04:6.0 | SF-07:5.0 | SF-06:2.0 | SF-08:1.0,Organizational,"Leakage starts with avoidable denials, no-shows, unused capacity, and mis-routed participants.","Teams repeatedly collect the same history and chase coverage, paperwork, and schedule coordination.","Staff balance urgency, fit, and operational constraints under incomplete documentation.","Phone calls, scanned documents, and message threads still carry the real intake context.","Eligibility and access rules can be encoded, but edge cases and capacity realities still require manual orchestration. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/eligibility-and-authorization.md
Engineering Change Management,"Product, Content, and Engineering",Product Manufacturing and Lifecycle Operations,Computer and electronic products,1,SF-03,Decision Context Escapes the Record,SF-02 | SF-04,Cross-System Reconciliation | Human Judgment Under Incomplete Information,SF-03 | SF-02 | SF-04,Decision Context Escapes the Record | Cross-System Reconciliation | Human Judgment Under Incomplete Information,SF-03:10.0 | SF-02:9.0 | SF-04:6.0,SF-03:10.0 | SF-02:9.0 | SF-04:6.0 | SF-05:4.0,Legacy Architecture,"Master-data mistakes and release delays create rework, scrap, missed launch windows, and downstream confusion.","Teams manually synchronize definitions across PLM, ERP, support, and commercial systems.","Tradeoffs among quality, timing, and downstream disruption remain human-led.","Critical rationale and version decisions live in reviews, comments, and docs outside the system of record.","Structured data and collaborative work still sit in separate tools, so version truth remains hard to unify. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/engineering-change-management.md
Estimating and Proposal Management,"Access, Intake, and Contracting",Project Delivery and Contracting,Construction,1,SF-05,Handoff and Approval Latency,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05 | SF-04 | SF-03,Handoff and Approval Latency | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05:13.0 | SF-04:11.0 | SF-03:6.0,SF-05:13.0 | SF-04:11.0 | SF-03:6.0 | SF-01:3.0 | SF-08:3.0 | SF-06:1.0,Technical,"Leakage comes from underpricing, scope misses, inaccurate assumptions, and change orders that were predictable at quote time.","Estimators wait on inputs, rebuild historical assumptions, and route approvals repeatedly.","Estimators must judge risk, uncertainty, and customer-specific nuance that raw historical data rarely captures cleanly.","The actual pricing narrative often sits in spreadsheets, markups, and offline review threads.","Rules can price the simple path, but profitable quoting still depends on tacit knowledge and cross-functional review. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/estimating-and-proposal-management.md
Estimating and Quotation,"Access, Intake, and Contracting",Product Manufacturing and Lifecycle Operations,Fabricated metal products,1,SF-05,Handoff and Approval Latency,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05 | SF-04 | SF-03,Handoff and Approval Latency | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05:13.0 | SF-04:11.0 | SF-03:6.0,SF-05:13.0 | SF-04:11.0 | SF-03:6.0 | SF-01:3.0 | SF-08:3.0 | SF-06:1.0,Technical,"Leakage comes from underpricing, scope misses, inaccurate assumptions, and change orders that were predictable at quote time.","Estimators wait on inputs, rebuild historical assumptions, and route approvals repeatedly.","Estimators must judge risk, uncertainty, and customer-specific nuance that raw historical data rarely captures cleanly.","The actual pricing narrative often sits in spreadsheets, markups, and offline review threads.","Rules can price the simple path, but profitable quoting still depends on tacit knowledge and cross-functional review. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/estimating-and-quotation.md
Event Settlement and Reporting,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations","Performing arts, spectator sports, museums, and related activities",1,SF-02,Cross-System Reconciliation,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-02 | SF-01 | SF-03,Cross-System Reconciliation | Exception-Path Breakdown | Decision Context Escapes the Record,SF-02:23.5 | SF-01:16.0 | SF-03:14.0,SF-02:23.5 | SF-01:16.0 | SF-03:14.0 | SF-04:11.0 | SF-08:4.0 | SF-07:2.0,Legacy Architecture,"Unmatched items, late close, duplicate settlements, and poor exception control create hidden leakage and working-capital drag.","Analysts spend time matching records manually, collecting support, and rebuilding audit trails.","Materiality, root cause, and acceptable resolution still depend on experienced finance staff.","Exception triage almost always moves into spreadsheets, email, and bank or partner portals.",Reconciliation spans asynchronous systems and low-standardization edge cases that resist full automation. It typically spans 1 operating-system context and 3 systems-of-record categories.,knowledge/research/workflow-library/workflows/event-settlement-and-reporting.md
