failure_code,failure_name,assignment_role,failure_score,workflow_name,workflow_family,canonical_operating_system,industry_name,industry_rank_2025_gross_output,dominant_root_cause,systems_of_record_categories,workflow_document
SF-04,Human Judgment Under Incomplete Information,Secondary,19.5,Client Onboarding and KYC,"Access, Intake, and Contracting",Capital Markets and Investment Management,"Securities, commodity contracts, and investments",15,Regulatory,Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance,knowledge/research/workflow-library/workflows/client-onboarding-and-kyc.md
SF-03,Decision Context Escapes the Record,Secondary,17.5,Client Onboarding and KYC,"Access, Intake, and Contracting",Capital Markets and Investment Management,"Securities, commodity contracts, and investments",15,Regulatory,Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance,knowledge/research/workflow-library/workflows/client-onboarding-and-kyc.md
SF-03,Decision Context Escapes the Record,Primary,13.0,Clinical Documentation,Clinical and Case Operations,Care Delivery and Reimbursement,Ambulatory health care services,6,Regulatory,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/clinical-documentation.md
SF-04,Human Judgment Under Incomplete Information,Secondary,7.0,Clinical Documentation,Clinical and Case Operations,Care Delivery and Reimbursement,Ambulatory health care services,6,Regulatory,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/clinical-documentation.md
SF-07,Compliance and Evidence Burden,Secondary,6.5,Clinical Documentation,Clinical and Case Operations,Care Delivery and Reimbursement,Ambulatory health care services,6,Regulatory,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/clinical-documentation.md
SF-03,Decision Context Escapes the Record,Primary,13.0,Clinical Documentation,Clinical and Case Operations,Care Delivery and Reimbursement,Hospitals,12,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/clinical-documentation.md
SF-04,Human Judgment Under Incomplete Information,Secondary,7.0,Clinical Documentation,Clinical and Case Operations,Care Delivery and Reimbursement,Hospitals,12,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/clinical-documentation.md
SF-07,Compliance and Evidence Burden,Secondary,6.5,Clinical Documentation,Clinical and Case Operations,Care Delivery and Reimbursement,Hospitals,12,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/clinical-documentation.md
SF-03,Decision Context Escapes the Record,Primary,13.0,Clinical Documentation,Clinical and Case Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,37,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,knowledge/research/workflow-library/workflows/clinical-documentation.md
SF-04,Human Judgment Under Incomplete Information,Secondary,7.0,Clinical Documentation,Clinical and Case Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,37,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,knowledge/research/workflow-library/workflows/clinical-documentation.md
SF-07,Compliance and Evidence Burden,Secondary,6.5,Clinical Documentation,Clinical and Case Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,37,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,knowledge/research/workflow-library/workflows/clinical-documentation.md
SF-01,Exception-Path Breakdown,Primary,20.5,Coding and Charge Capture,Finance and Revenue Operations,Care Delivery and Reimbursement,Ambulatory health care services,6,Regulatory,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/coding-and-charge-capture.md
SF-03,Decision Context Escapes the Record,Secondary,13.0,Coding and Charge Capture,Finance and Revenue Operations,Care Delivery and Reimbursement,Ambulatory health care services,6,Regulatory,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/coding-and-charge-capture.md
SF-02,Cross-System Reconciliation,Secondary,9.0,Coding and Charge Capture,Finance and Revenue Operations,Care Delivery and Reimbursement,Ambulatory health care services,6,Regulatory,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/coding-and-charge-capture.md
SF-03,Decision Context Escapes the Record,Primary,18.0,Collections and Loss Mitigation,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Regulatory,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,knowledge/research/workflow-library/workflows/collections-and-loss-mitigation.md
SF-04,Human Judgment Under Incomplete Information,Secondary,9.5,Collections and Loss Mitigation,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Regulatory,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,knowledge/research/workflow-library/workflows/collections-and-loss-mitigation.md
SF-05,Handoff and Approval Latency,Secondary,9.0,Collections and Loss Mitigation,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Regulatory,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,knowledge/research/workflow-library/workflows/collections-and-loss-mitigation.md
SF-07,Compliance and Evidence Burden,Primary,23.5,Compliance and Certification Management,"Risk, Compliance, and Reporting",Product Manufacturing and Lifecycle Operations,"Electrical equipment, appliances, and components",50,Regulatory,ERP | PLM and Engineering Design | Manufacturing Execution System | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/compliance-and-certification-management.md
SF-04,Human Judgment Under Incomplete Information,Secondary,14.0,Compliance and Certification Management,"Risk, Compliance, and Reporting",Product Manufacturing and Lifecycle Operations,"Electrical equipment, appliances, and components",50,Regulatory,ERP | PLM and Engineering Design | Manufacturing Execution System | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/compliance-and-certification-management.md
SF-03,Decision Context Escapes the Record,Secondary,10.5,Compliance and Certification Management,"Risk, Compliance, and Reporting",Product Manufacturing and Lifecycle Operations,"Electrical equipment, appliances, and components",50,Regulatory,ERP | PLM and Engineering Design | Manufacturing Execution System | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/compliance-and-certification-management.md
SF-07,Compliance and Evidence Burden,Primary,26.0,Compliance and Service-Provider Oversight,"Risk, Compliance, and Reporting",Capital Markets and Investment Management,"Funds, trusts, and other financial vehicles",46,Regulatory,Fund Administration and Accounting | Portfolio and Order Management | Reconciliation and Reporting | Investor Reporting and Performance,knowledge/research/workflow-library/workflows/compliance-and-service-provider-oversight.md
SF-03,Decision Context Escapes the Record,Secondary,12.0,Compliance and Service-Provider Oversight,"Risk, Compliance, and Reporting",Capital Markets and Investment Management,"Funds, trusts, and other financial vehicles",46,Regulatory,Fund Administration and Accounting | Portfolio and Order Management | Reconciliation and Reporting | Investor Reporting and Performance,knowledge/research/workflow-library/workflows/compliance-and-service-provider-oversight.md
SF-01,Exception-Path Breakdown,Secondary,7.0,Compliance and Service-Provider Oversight,"Risk, Compliance, and Reporting",Capital Markets and Investment Management,"Funds, trusts, and other financial vehicles",46,Regulatory,Fund Administration and Accounting | Portfolio and Order Management | Reconciliation and Reporting | Investor Reporting and Performance,knowledge/research/workflow-library/workflows/compliance-and-service-provider-oversight.md
SF-03,Decision Context Escapes the Record,Primary,11.0,Content and Service Operations,Delivery and Service Execution,Network Infrastructure Operations,Broadcasting and telecommunications,18,Legacy Architecture,Network OSS/BSS | Billing and Subscription Management | CRM,knowledge/research/workflow-library/workflows/content-and-service-operations.md
SF-06,Plan vs. Reality Divergence,Secondary,10.0,Content and Service Operations,Delivery and Service Execution,Network Infrastructure Operations,Broadcasting and telecommunications,18,Legacy Architecture,Network OSS/BSS | Billing and Subscription Management | CRM,knowledge/research/workflow-library/workflows/content-and-service-operations.md
SF-05,Handoff and Approval Latency,Secondary,7.0,Content and Service Operations,Delivery and Service Execution,Network Infrastructure Operations,Broadcasting and telecommunications,18,Legacy Architecture,Network OSS/BSS | Billing and Subscription Management | CRM,knowledge/research/workflow-library/workflows/content-and-service-operations.md
SF-01,Exception-Path Breakdown,Primary,20.5,Contract and Margin Management,Finance and Revenue Operations,Process Manufacturing and Throughput Control,Chemical products,16,Legacy Architecture,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/contract-and-margin-management.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,Contract and Margin Management,Finance and Revenue Operations,Process Manufacturing and Throughput Control,Chemical products,16,Legacy Architecture,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/contract-and-margin-management.md
SF-02,Cross-System Reconciliation,Secondary,10.0,Contract and Margin Management,Finance and Revenue Operations,Process Manufacturing and Throughput Control,Chemical products,16,Legacy Architecture,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/contract-and-margin-management.md
SF-03,Decision Context Escapes the Record,Primary,18.0,Credit Underwriting and Servicing,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Regulatory,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,knowledge/research/workflow-library/workflows/credit-underwriting-and-servicing.md
SF-04,Human Judgment Under Incomplete Information,Secondary,9.5,Credit Underwriting and Servicing,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Regulatory,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,knowledge/research/workflow-library/workflows/credit-underwriting-and-servicing.md
SF-05,Handoff and Approval Latency,Secondary,9.0,Credit Underwriting and Servicing,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Regulatory,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,knowledge/research/workflow-library/workflows/credit-underwriting-and-servicing.md
SF-06,Plan vs. Reality Divergence,Primary,18.0,Crew and Fleet Assignment,Network and Transportation Operations,Transportation Network Operations,Air transportation,42,Technical,Airline Operations and Reservations | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/crew-and-fleet-assignment.md
SF-08,Multi-Party Trust and Dependency Gaps,Secondary,13.5,Crew and Fleet Assignment,Network and Transportation Operations,Transportation Network Operations,Air transportation,42,Technical,Airline Operations and Reservations | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/crew-and-fleet-assignment.md
SF-03,Decision Context Escapes the Record,Secondary,6.0,Crew and Fleet Assignment,Network and Transportation Operations,Transportation Network Operations,Air transportation,42,Technical,Airline Operations and Reservations | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/crew-and-fleet-assignment.md
SF-05,Handoff and Approval Latency,Primary,22.0,Customer Acquisition and Onboarding,"Access, Intake, and Contracting",Digital Platform and Subscription Operations,"Data processing, internet publishing, and other information services",17,Regulatory,Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management,knowledge/research/workflow-library/workflows/customer-acquisition-and-onboarding.md
SF-04,Human Judgment Under Incomplete Information,Secondary,19.5,Customer Acquisition and Onboarding,"Access, Intake, and Contracting",Digital Platform and Subscription Operations,"Data processing, internet publishing, and other information services",17,Regulatory,Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management,knowledge/research/workflow-library/workflows/customer-acquisition-and-onboarding.md
SF-03,Decision Context Escapes the Record,Secondary,17.5,Customer Acquisition and Onboarding,"Access, Intake, and Contracting",Digital Platform and Subscription Operations,"Data processing, internet publishing, and other information services",17,Regulatory,Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management,knowledge/research/workflow-library/workflows/customer-acquisition-and-onboarding.md
SF-03,Decision Context Escapes the Record,Primary,16.0,Customer Retention and Remarketing,Customer and Experience Operations,Retail and Service Commerce,Motor vehicle and parts dealers,27,Behavioral,Dealership Management System | CRM | Loan Origination and Servicing | Maintenance Management,knowledge/research/workflow-library/workflows/customer-retention-and-remarketing.md
SF-04,Human Judgment Under Incomplete Information,Secondary,12.5,Customer Retention and Remarketing,Customer and Experience Operations,Retail and Service Commerce,Motor vehicle and parts dealers,27,Behavioral,Dealership Management System | CRM | Loan Origination and Servicing | Maintenance Management,knowledge/research/workflow-library/workflows/customer-retention-and-remarketing.md
SF-03,Decision Context Escapes the Record,Primary,16.0,Customer Retention and Repeat Service,Customer and Experience Operations,Workforce Coordination and Service Operations,"Other services, except government",14,Behavioral,CRM | POS and Payments | HCM / Workforce Management | Service Management,knowledge/research/workflow-library/workflows/customer-retention-and-repeat-service.md
SF-04,Human Judgment Under Incomplete Information,Secondary,12.5,Customer Retention and Repeat Service,Customer and Experience Operations,Workforce Coordination and Service Operations,"Other services, except government",14,Behavioral,CRM | POS and Payments | HCM / Workforce Management | Service Management,knowledge/research/workflow-library/workflows/customer-retention-and-repeat-service.md
SF-04,Human Judgment Under Incomplete Information,Primary,16.0,Customer Service and Field Response,Customer and Experience Operations,Network Infrastructure Operations,Utilities,24,Legacy Architecture,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP,knowledge/research/workflow-library/workflows/customer-service-and-field-response.md
SF-01,Exception-Path Breakdown,Secondary,14.0,Customer Service and Field Response,Customer and Experience Operations,Network Infrastructure Operations,Utilities,24,Legacy Architecture,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP,knowledge/research/workflow-library/workflows/customer-service-and-field-response.md
SF-03,Decision Context Escapes the Record,Secondary,9.0,Customer Service and Field Response,Customer and Experience Operations,Network Infrastructure Operations,Utilities,24,Legacy Architecture,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP,knowledge/research/workflow-library/workflows/customer-service-and-field-response.md
SF-04,Human Judgment Under Incomplete Information,Primary,16.0,Customer Support and Success,Customer and Experience Operations,"IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,Organizational,CRM | Billing and Subscription Management | ERP | Service Management,knowledge/research/workflow-library/workflows/customer-support-and-success.md
SF-01,Exception-Path Breakdown,Secondary,14.0,Customer Support and Success,Customer and Experience Operations,"IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,Organizational,CRM | Billing and Subscription Management | ERP | Service Management,knowledge/research/workflow-library/workflows/customer-support-and-success.md
SF-05,Handoff and Approval Latency,Secondary,10.0,Customer Support and Success,Customer and Experience Operations,"IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,Organizational,CRM | Billing and Subscription Management | ERP | Service Management,knowledge/research/workflow-library/workflows/customer-support-and-success.md
SF-03,Decision Context Escapes the Record,Primary,14.0,Delivery and Contract Milestone Management,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,Legacy Architecture,ERP | PLM and Engineering Design | Project and Construction Management,knowledge/research/workflow-library/workflows/delivery-and-contract-milestone-management.md
SF-04,Human Judgment Under Incomplete Information,Secondary,7.0,Delivery and Contract Milestone Management,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,Legacy Architecture,ERP | PLM and Engineering Design | Project and Construction Management,knowledge/research/workflow-library/workflows/delivery-and-contract-milestone-management.md
SF-04,Human Judgment Under Incomplete Information,Primary,21.5,Demand Planning,Planning and Allocation,Distribution and Trade Operations,Wholesale trade,2,Technical,ERP | Supply Chain Planning | Warehouse Management System | Order Management System,knowledge/research/workflow-library/workflows/demand-planning.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Demand Planning,Planning and Allocation,Distribution and Trade Operations,Wholesale trade,2,Technical,ERP | Supply Chain Planning | Warehouse Management System | Order Management System,knowledge/research/workflow-library/workflows/demand-planning.md
SF-08,Multi-Party Trust and Dependency Gaps,Secondary,8.0,Demand Planning,Planning and Allocation,Distribution and Trade Operations,Wholesale trade,2,Technical,ERP | Supply Chain Planning | Warehouse Management System | Order Management System,knowledge/research/workflow-library/workflows/demand-planning.md
SF-04,Human Judgment Under Incomplete Information,Primary,21.5,Demand Planning,Planning and Allocation,Process Manufacturing and Throughput Control,Food and beverage and tobacco products,13,Technical,ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA,knowledge/research/workflow-library/workflows/demand-planning.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Demand Planning,Planning and Allocation,Process Manufacturing and Throughput Control,Food and beverage and tobacco products,13,Technical,ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA,knowledge/research/workflow-library/workflows/demand-planning.md
SF-08,Multi-Party Trust and Dependency Gaps,Secondary,8.0,Demand Planning,Planning and Allocation,Process Manufacturing and Throughput Control,Food and beverage and tobacco products,13,Technical,ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA,knowledge/research/workflow-library/workflows/demand-planning.md
SF-04,Human Judgment Under Incomplete Information,Primary,21.5,Demand and Allocation Planning,Planning and Allocation,Product Manufacturing and Lifecycle Operations,Computer and electronic products,35,Technical,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning,knowledge/research/workflow-library/workflows/demand-and-allocation-planning.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Demand and Allocation Planning,Planning and Allocation,Product Manufacturing and Lifecycle Operations,Computer and electronic products,35,Technical,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning,knowledge/research/workflow-library/workflows/demand-and-allocation-planning.md
SF-08,Multi-Party Trust and Dependency Gaps,Secondary,8.0,Demand and Allocation Planning,Planning and Allocation,Product Manufacturing and Lifecycle Operations,Computer and electronic products,35,Technical,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning,knowledge/research/workflow-library/workflows/demand-and-allocation-planning.md
SF-03,Decision Context Escapes the Record,Primary,18.0,Deposit and Payment Operations,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Regulatory,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,knowledge/research/workflow-library/workflows/deposit-and-payment-operations.md
SF-04,Human Judgment Under Incomplete Information,Secondary,9.5,Deposit and Payment Operations,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Regulatory,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,knowledge/research/workflow-library/workflows/deposit-and-payment-operations.md
SF-05,Handoff and Approval Latency,Secondary,9.0,Deposit and Payment Operations,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Regulatory,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,knowledge/research/workflow-library/workflows/deposit-and-payment-operations.md
SF-03,Decision Context Escapes the Record,Primary,10.0,Development and Greenlight Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management",Motion picture and sound recording industries,49,Legacy Architecture,Rights and Royalty Management | Production Management | CRM | ERP,knowledge/research/workflow-library/workflows/development-and-greenlight-management.md
SF-02,Cross-System Reconciliation,Secondary,9.0,Development and Greenlight Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management",Motion picture and sound recording industries,49,Legacy Architecture,Rights and Royalty Management | Production Management | CRM | ERP,knowledge/research/workflow-library/workflows/development-and-greenlight-management.md
SF-04,Human Judgment Under Incomplete Information,Secondary,6.0,Development and Greenlight Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management",Motion picture and sound recording industries,49,Legacy Architecture,Rights and Royalty Management | Production Management | CRM | ERP,knowledge/research/workflow-library/workflows/development-and-greenlight-management.md
SF-03,Decision Context Escapes the Record,Primary,8.0,Dispatch and Checkout,Delivery and Service Execution,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Legacy Architecture,Rental Operations Management | Maintenance Management | ERP,knowledge/research/workflow-library/workflows/dispatch-and-checkout.md
SF-05,Handoff and Approval Latency,Secondary,8.0,Dispatch and Checkout,Delivery and Service Execution,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Legacy Architecture,Rental Operations Management | Maintenance Management | ERP,knowledge/research/workflow-library/workflows/dispatch-and-checkout.md
SF-06,Plan vs. Reality Divergence,Secondary,7.0,Dispatch and Checkout,Delivery and Service Execution,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Legacy Architecture,Rental Operations Management | Maintenance Management | ERP,knowledge/research/workflow-library/workflows/dispatch-and-checkout.md
SF-06,Plan vs. Reality Divergence,Primary,18.0,Dispatch and Routing,Network and Transportation Operations,Transportation Network Operations,Truck transportation,28,Technical,Transportation Management System | Fleet Telematics and Visibility | ERP,knowledge/research/workflow-library/workflows/dispatch-and-routing.md
SF-08,Multi-Party Trust and Dependency Gaps,Secondary,13.5,Dispatch and Routing,Network and Transportation Operations,Transportation Network Operations,Truck transportation,28,Technical,Transportation Management System | Fleet Telematics and Visibility | ERP,knowledge/research/workflow-library/workflows/dispatch-and-routing.md
SF-03,Decision Context Escapes the Record,Secondary,6.0,Dispatch and Routing,Network and Transportation Operations,Transportation Network Operations,Truck transportation,28,Technical,Transportation Management System | Fleet Telematics and Visibility | ERP,knowledge/research/workflow-library/workflows/dispatch-and-routing.md
SF-05,Handoff and Approval Latency,Primary,13.0,Distribution and Quote-to-Bind,"Access, Intake, and Contracting",Risk Underwriting and Claims Administration,Insurance carriers and related activities,8,Technical,Policy Administration | Claims Management | Underwriting and Rating | CRM,knowledge/research/workflow-library/workflows/distribution-and-quote-to-bind.md
SF-04,Human Judgment Under Incomplete Information,Secondary,11.0,Distribution and Quote-to-Bind,"Access, Intake, and Contracting",Risk Underwriting and Claims Administration,Insurance carriers and related activities,8,Technical,Policy Administration | Claims Management | Underwriting and Rating | CRM,knowledge/research/workflow-library/workflows/distribution-and-quote-to-bind.md
SF-03,Decision Context Escapes the Record,Secondary,6.0,Distribution and Quote-to-Bind,"Access, Intake, and Contracting",Risk Underwriting and Claims Administration,Insurance carriers and related activities,8,Technical,Policy Administration | Claims Management | Underwriting and Rating | CRM,knowledge/research/workflow-library/workflows/distribution-and-quote-to-bind.md
SF-03,Decision Context Escapes the Record,Primary,10.0,Distribution and Release Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management",Motion picture and sound recording industries,49,Legacy Architecture,Rights and Royalty Management | Production Management | CRM | ERP,knowledge/research/workflow-library/workflows/distribution-and-release-management.md
SF-02,Cross-System Reconciliation,Secondary,9.0,Distribution and Release Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management",Motion picture and sound recording industries,49,Legacy Architecture,Rights and Royalty Management | Production Management | CRM | ERP,knowledge/research/workflow-library/workflows/distribution-and-release-management.md
SF-04,Human Judgment Under Incomplete Information,Secondary,6.0,Distribution and Release Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management",Motion picture and sound recording industries,49,Legacy Architecture,Rights and Royalty Management | Production Management | CRM | ERP,knowledge/research/workflow-library/workflows/distribution-and-release-management.md
SF-03,Decision Context Escapes the Record,Primary,10.0,Distribution and Release Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,Legacy Architecture,CRM | Billing and Subscription Management | ERP | Service Management,knowledge/research/workflow-library/workflows/distribution-and-release-management.md
SF-02,Cross-System Reconciliation,Secondary,9.0,Distribution and Release Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,Legacy Architecture,CRM | Billing and Subscription Management | ERP | Service Management,knowledge/research/workflow-library/workflows/distribution-and-release-management.md
SF-04,Human Judgment Under Incomplete Information,Secondary,6.0,Distribution and Release Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,Legacy Architecture,CRM | Billing and Subscription Management | ERP | Service Management,knowledge/research/workflow-library/workflows/distribution-and-release-management.md
SF-04,Human Judgment Under Incomplete Information,Primary,11.0,Distribution and Trade Promotion,Customer and Experience Operations,Process Manufacturing and Throughput Control,Food and beverage and tobacco products,13,Technical,ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA,knowledge/research/workflow-library/workflows/distribution-and-trade-promotion.md
SF-07,Compliance and Evidence Burden,Primary,23.5,Docketing and Compliance Tracking,"Risk, Compliance, and Reporting",Professional Services and Matter Management,Legal services,29,Regulatory,Document Management | Practice Management and Billing | CRM,knowledge/research/workflow-library/workflows/docketing-and-compliance-tracking.md
SF-04,Human Judgment Under Incomplete Information,Secondary,14.0,Docketing and Compliance Tracking,"Risk, Compliance, and Reporting",Professional Services and Matter Management,Legal services,29,Regulatory,Document Management | Practice Management and Billing | CRM,knowledge/research/workflow-library/workflows/docketing-and-compliance-tracking.md
SF-03,Decision Context Escapes the Record,Secondary,10.5,Docketing and Compliance Tracking,"Risk, Compliance, and Reporting",Professional Services and Matter Management,Legal services,29,Regulatory,Document Management | Practice Management and Billing | CRM,knowledge/research/workflow-library/workflows/docketing-and-compliance-tracking.md
SF-03,Decision Context Escapes the Record,Primary,11.5,Document and Knowledge Management,"Product, Content, and Engineering",Professional Services and Matter Management,Legal services,29,Legacy Architecture,Document Management | Practice Management and Billing | CRM,knowledge/research/workflow-library/workflows/document-and-knowledge-management.md
SF-05,Handoff and Approval Latency,Secondary,7.0,Document and Knowledge Management,"Product, Content, and Engineering",Professional Services and Matter Management,Legal services,29,Legacy Architecture,Document Management | Practice Management and Billing | CRM,knowledge/research/workflow-library/workflows/document-and-knowledge-management.md
SF-07,Compliance and Evidence Burden,Primary,26.0,Documentation and Compliance Management,"Risk, Compliance, and Reporting",Case Management and Program Administration,Social assistance,38,Regulatory,Case Management System | CRM | Grant and Program Reporting | Referral Management,knowledge/research/workflow-library/workflows/documentation-and-compliance-management.md
SF-03,Decision Context Escapes the Record,Secondary,12.0,Documentation and Compliance Management,"Risk, Compliance, and Reporting",Case Management and Program Administration,Social assistance,38,Regulatory,Case Management System | CRM | Grant and Program Reporting | Referral Management,knowledge/research/workflow-library/workflows/documentation-and-compliance-management.md
SF-01,Exception-Path Breakdown,Secondary,7.0,Documentation and Compliance Management,"Risk, Compliance, and Reporting",Case Management and Program Administration,Social assistance,38,Regulatory,Case Management System | CRM | Grant and Program Reporting | Referral Management,knowledge/research/workflow-library/workflows/documentation-and-compliance-management.md
SF-07,Compliance and Evidence Burden,Primary,23.5,Driver Safety and Compliance,"Risk, Compliance, and Reporting",Transportation Network Operations,Truck transportation,28,Regulatory,Transportation Management System | Fleet Telematics and Visibility | ERP,knowledge/research/workflow-library/workflows/driver-safety-and-compliance.md
SF-04,Human Judgment Under Incomplete Information,Secondary,14.0,Driver Safety and Compliance,"Risk, Compliance, and Reporting",Transportation Network Operations,Truck transportation,28,Regulatory,Transportation Management System | Fleet Telematics and Visibility | ERP,knowledge/research/workflow-library/workflows/driver-safety-and-compliance.md
SF-03,Decision Context Escapes the Record,Secondary,10.5,Driver Safety and Compliance,"Risk, Compliance, and Reporting",Transportation Network Operations,Truck transportation,28,Regulatory,Transportation Management System | Fleet Telematics and Visibility | ERP,knowledge/research/workflow-library/workflows/driver-safety-and-compliance.md
SF-03,Decision Context Escapes the Record,Primary,15.0,Eligibility and Authorization,"Access, Intake, and Contracting",Care Delivery and Reimbursement,Ambulatory health care services,6,Organizational,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/eligibility-and-authorization.md
SF-01,Exception-Path Breakdown,Secondary,13.0,Eligibility and Authorization,"Access, Intake, and Contracting",Care Delivery and Reimbursement,Ambulatory health care services,6,Organizational,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/eligibility-and-authorization.md
SF-05,Handoff and Approval Latency,Secondary,8.0,Eligibility and Authorization,"Access, Intake, and Contracting",Care Delivery and Reimbursement,Ambulatory health care services,6,Organizational,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/eligibility-and-authorization.md
