workflow_name,workflow_family,canonical_operating_system,industry_name,industry_rank_2025_gross_output,systems_of_record_categories
Quality and Traceability Management,"Risk, Compliance, and Reporting",Product Manufacturing and Lifecycle Operations,Computer and electronic products,35,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning
Logistics and Channel Fulfillment,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations,Computer and electronic products,35,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning
Reservation and Distribution Management,"Access, Intake, and Contracting","Venue, Hospitality, and Attendance Operations",Accommodation,36,Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP
Revenue Management,Planning and Allocation,"Venue, Hospitality, and Attendance Operations",Accommodation,36,Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP
Front Desk and Housekeeping Operations,Delivery and Service Execution,"Venue, Hospitality, and Attendance Operations",Accommodation,36,Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP
Maintenance and Guest Service,Customer and Experience Operations,"Venue, Hospitality, and Attendance Operations",Accommodation,36,Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP
Night Audit and Owner Reporting,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations",Accommodation,36,Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP
"Access, Admissions, and Throughput Management","Access, Intake, and Contracting",Care Delivery and Reimbursement,Nursing and residential care facilities,37,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management
Workforce Scheduling,Workforce and Labor Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,37,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management
Clinical Documentation,Clinical and Case Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,37,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management
Medication and Compliance Management,Clinical and Case Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,37,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management
"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,37,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management
Intake and Eligibility Determination,"Access, Intake, and Contracting",Case Management and Program Administration,Social assistance,38,Case Management System | CRM | Grant and Program Reporting | Referral Management
Case Planning,Clinical and Case Operations,Case Management and Program Administration,Social assistance,38,Case Management System | CRM | Grant and Program Reporting | Referral Management
Service Delivery and Referral Coordination,Clinical and Case Operations,Case Management and Program Administration,Social assistance,38,Case Management System | CRM | Grant and Program Reporting | Referral Management
Documentation and Compliance Management,"Risk, Compliance, and Reporting",Case Management and Program Administration,Social assistance,38,Case Management System | CRM | Grant and Program Reporting | Referral Management
"Billing, Grant Reporting, and Reimbursement",Finance and Revenue Operations,Case Management and Program Administration,Social assistance,38,Case Management System | CRM | Grant and Program Reporting | Referral Management
Load Intake and Booking,"Access, Intake, and Contracting",Transportation Network Operations,Other transportation and support activities,39,Transportation Management System | Fleet Telematics and Visibility | ERP
Carrier Coordination and Brokerage,Network and Transportation Operations,Transportation Network Operations,Other transportation and support activities,39,Transportation Management System | Fleet Telematics and Visibility | ERP
Terminal and Yard Operations,Network and Transportation Operations,Transportation Network Operations,Other transportation and support activities,39,Transportation Management System | Fleet Telematics and Visibility | ERP
Exception Management,Network and Transportation Operations,Transportation Network Operations,Other transportation and support activities,39,Transportation Management System | Fleet Telematics and Visibility | ERP
Freight Audit and Settlement,Finance and Revenue Operations,Transportation Network Operations,Other transportation and support activities,39,Transportation Management System | Fleet Telematics and Visibility | ERP
Merchandising and Assortment Planning,Planning and Allocation,Retail and Service Commerce,Food and beverage stores,40,POS and Payments | ERP | Supply Chain Planning | Warehouse Management System
Inventory and Perishables Management,Production and Asset Operations,Retail and Service Commerce,Food and beverage stores,40,POS and Payments | ERP | Supply Chain Planning | Warehouse Management System
Point-of-Sale and Loyalty Operations,Customer and Experience Operations,Retail and Service Commerce,Food and beverage stores,40,POS and Payments | ERP | Supply Chain Planning | Warehouse Management System
Workforce Scheduling,Workforce and Labor Operations,Retail and Service Commerce,Food and beverage stores,40,POS and Payments | ERP | Supply Chain Planning | Warehouse Management System
Margin and Shrink Management,Finance and Revenue Operations,Retail and Service Commerce,Food and beverage stores,40,POS and Payments | ERP | Supply Chain Planning | Warehouse Management System
Programming and Event Planning,Planning and Allocation,"Venue, Hospitality, and Attendance Operations","Performing arts, spectator sports, museums, and related activities",41,Ticketing and Venue Management | CRM | Event and Donor Management
Ticketing and Pricing,"Access, Intake, and Contracting","Venue, Hospitality, and Attendance Operations","Performing arts, spectator sports, museums, and related activities",41,Ticketing and Venue Management | CRM | Event and Donor Management
Venue and Staff Operations,Delivery and Service Execution,"Venue, Hospitality, and Attendance Operations","Performing arts, spectator sports, museums, and related activities",41,Ticketing and Venue Management | CRM | Event and Donor Management
Sponsorship and Donor Management,"Access, Intake, and Contracting","Venue, Hospitality, and Attendance Operations","Performing arts, spectator sports, museums, and related activities",41,Ticketing and Venue Management | CRM | Event and Donor Management
Event Settlement and Reporting,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations","Performing arts, spectator sports, museums, and related activities",41,Ticketing and Venue Management | CRM | Event and Donor Management
Network and Schedule Planning,Network and Transportation Operations,Transportation Network Operations,Air transportation,42,Airline Operations and Reservations | Revenue Management Platform | ERP
Crew and Fleet Assignment,Network and Transportation Operations,Transportation Network Operations,Air transportation,42,Airline Operations and Reservations | Revenue Management Platform | ERP
Revenue Management,Planning and Allocation,Transportation Network Operations,Air transportation,42,Airline Operations and Reservations | Revenue Management Platform | ERP
Operational Recovery and Disruption Management,Network and Transportation Operations,Transportation Network Operations,Air transportation,42,Airline Operations and Reservations | Revenue Management Platform | ERP
Loyalty and Settlement Accounting,Finance and Revenue Operations,Transportation Network Operations,Air transportation,42,Airline Operations and Reservations | Revenue Management Platform | ERP
Merchandising and Assortment Planning,Planning and Allocation,Retail and Service Commerce,General merchandise stores,43,Commerce Platform | ERP | Order Management System | Warehouse Management System | Supply Chain Planning
Inventory Allocation and Replenishment,Planning and Allocation,Retail and Service Commerce,General merchandise stores,43,Commerce Platform | ERP | Order Management System | Warehouse Management System | Supply Chain Planning
Order Orchestration and Fulfillment,Delivery and Service Execution,Retail and Service Commerce,General merchandise stores,43,Commerce Platform | ERP | Order Management System | Warehouse Management System | Supply Chain Planning
Store Labor Execution,Workforce and Labor Operations,Retail and Service Commerce,General merchandise stores,43,Commerce Platform | ERP | Order Management System | Warehouse Management System | Supply Chain Planning
Returns and Markdown Management,Customer and Experience Operations,Retail and Service Commerce,General merchandise stores,43,Commerce Platform | ERP | Order Management System | Warehouse Management System | Supply Chain Planning
Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Primary metals,44,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality
Production Planning and Process Control,Production and Asset Operations,Process Manufacturing and Throughput Control,Primary metals,44,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality
Asset Maintenance and Uptime Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Primary metals,44,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality
Quality Inspection and Certification,"Risk, Compliance, and Reporting",Process Manufacturing and Throughput Control,Primary metals,44,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality
Order Management and Fulfillment,Delivery and Service Execution,Process Manufacturing and Throughput Control,Primary metals,44,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality
Material Sourcing,Sourcing and Supply,Product Manufacturing and Lifecycle Operations,Plastics and rubber products,45,ERP | Manufacturing Execution System | PLM and Engineering Design | Shop Floor Control and Quality
Production Planning,Planning and Allocation,Product Manufacturing and Lifecycle Operations,Plastics and rubber products,45,ERP | Manufacturing Execution System | PLM and Engineering Design | Shop Floor Control and Quality
Tooling and Machine Execution,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Plastics and rubber products,45,ERP | Manufacturing Execution System | PLM and Engineering Design | Shop Floor Control and Quality
Quality and Compliance Management,"Risk, Compliance, and Reporting",Product Manufacturing and Lifecycle Operations,Plastics and rubber products,45,ERP | Manufacturing Execution System | PLM and Engineering Design | Shop Floor Control and Quality
Logistics and Channel Fulfillment,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations,Plastics and rubber products,45,ERP | Manufacturing Execution System | PLM and Engineering Design | Shop Floor Control and Quality
Fund Onboarding and Setup,"Access, Intake, and Contracting",Capital Markets and Investment Management,"Funds, trusts, and other financial vehicles",46,Fund Administration and Accounting | Portfolio and Order Management | Reconciliation and Reporting | Investor Reporting and Performance
Fund Accounting,Governance and Portfolio Operations,Capital Markets and Investment Management,"Funds, trusts, and other financial vehicles",46,Fund Administration and Accounting | Portfolio and Order Management | Reconciliation and Reporting | Investor Reporting and Performance
"Valuation, NAV, and Reconciliation",Governance and Portfolio Operations,Capital Markets and Investment Management,"Funds, trusts, and other financial vehicles",46,Fund Administration and Accounting | Portfolio and Order Management | Reconciliation and Reporting | Investor Reporting and Performance
Investor Reporting,Governance and Portfolio Operations,Capital Markets and Investment Management,"Funds, trusts, and other financial vehicles",46,Fund Administration and Accounting | Portfolio and Order Management | Reconciliation and Reporting | Investor Reporting and Performance
Compliance and Service-Provider Oversight,"Risk, Compliance, and Reporting",Capital Markets and Investment Management,"Funds, trusts, and other financial vehicles",46,Fund Administration and Accounting | Portfolio and Order Management | Reconciliation and Reporting | Investor Reporting and Performance
Capacity and Event Planning,Planning and Allocation,"Venue, Hospitality, and Attendance Operations","Amusements, gambling, and recreation industries",47,Ticketing and Venue Management | POS and Payments | CRM | Revenue Management Platform
"Ticketing, POS, and Cage Operations",Customer and Experience Operations,"Venue, Hospitality, and Attendance Operations","Amusements, gambling, and recreation industries",47,Ticketing and Venue Management | POS and Payments | CRM | Revenue Management Platform
Workforce Scheduling,Workforce and Labor Operations,"Venue, Hospitality, and Attendance Operations","Amusements, gambling, and recreation industries",47,Ticketing and Venue Management | POS and Payments | CRM | Revenue Management Platform
Safety and Compliance Management,"Risk, Compliance, and Reporting","Venue, Hospitality, and Attendance Operations","Amusements, gambling, and recreation industries",47,Ticketing and Venue Management | POS and Payments | CRM | Revenue Management Platform
Loyalty and Settlement Management,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations","Amusements, gambling, and recreation industries",47,Ticketing and Venue Management | POS and Payments | CRM | Revenue Management Platform
Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Paper products,48,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning
Production Planning and Process Control,Production and Asset Operations,Process Manufacturing and Throughput Control,Paper products,48,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning
Asset Maintenance and Uptime Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Paper products,48,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning
Quality and Converting Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Paper products,48,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning
Logistics and Channel Fulfillment,Delivery and Service Execution,Process Manufacturing and Throughput Control,Paper products,48,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning
Development and Greenlight Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management",Motion picture and sound recording industries,49,Rights and Royalty Management | Production Management | CRM | ERP
Production Scheduling,Planning and Allocation,"IP, Subscription, and Rights Management",Motion picture and sound recording industries,49,Rights and Royalty Management | Production Management | CRM | ERP
Rights and Contract Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management",Motion picture and sound recording industries,49,Rights and Royalty Management | Production Management | CRM | ERP
Distribution and Release Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management",Motion picture and sound recording industries,49,Rights and Royalty Management | Production Management | CRM | ERP
Royalty and Participation Accounting,Finance and Revenue Operations,"IP, Subscription, and Rights Management",Motion picture and sound recording industries,49,Rights and Royalty Management | Production Management | CRM | ERP
Product Lifecycle and Engineering Management,"Product, Content, and Engineering",Product Manufacturing and Lifecycle Operations,"Electrical equipment, appliances, and components",50,ERP | PLM and Engineering Design | Manufacturing Execution System | Shop Floor Control and Quality
Supplier Scheduling and Procurement,Sourcing and Supply,Product Manufacturing and Lifecycle Operations,"Electrical equipment, appliances, and components",50,ERP | PLM and Engineering Design | Manufacturing Execution System | Shop Floor Control and Quality
Assembly and Test,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,"Electrical equipment, appliances, and components",50,ERP | PLM and Engineering Design | Manufacturing Execution System | Shop Floor Control and Quality
Compliance and Certification Management,"Risk, Compliance, and Reporting",Product Manufacturing and Lifecycle Operations,"Electrical equipment, appliances, and components",50,ERP | PLM and Engineering Design | Manufacturing Execution System | Shop Floor Control and Quality
Channel and Service Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,"Electrical equipment, appliances, and components",50,ERP | PLM and Engineering Design | Manufacturing Execution System | Shop Floor Control and Quality
