workflow_name,workflow_family,operating_systems,industries_using_this_workflow,industry_count,objective,trigger,end_outcome,primary_actors,major_decisions,major_handoffs,systems_of_record_involved,where_money_is_lost,where_time_is_lost,where_human_judgment_dominates,where_people_leave_the_system_of_record,what_software_exists_today,why_hasnt_this_been_solved,primary_reason,representative_vendors,researched_vendor_links,validation_status,missing_fields
Lease Acquisition and Pipeline Management,"Access, Intake, and Contracting",Asset Utilization and Lease Management,Other real estate,1,Keep monetizable capacity occupied by winning the right tenants or reservations and preserving renewal continuity.,"A unit, asset, or capacity block must be leased, renewed, or moved through the reservation pipeline.",Capacity is committed on acceptable terms and downstream readiness or billing actions are triggered.,leasing or reservations staff; prospect or tenant; property or asset manager; operations support,"What terms, concessions, or pricing are acceptable for this capacity?; Should the existing relationship be renewed, repriced, or replaced?; What readiness or turnover work must occur before commitment?",prospect management -> approval or contracting; signed commitment -> property or operations team; live lease or reservation -> billing and service teams,Fund Administration and Accounting | Property Management System | Real Estate Asset Management | CRM,"Vacancy, poor renewal timing, weak concessions discipline, and slow readiness cycles directly reduce yield.","Leasing teams spend time coordinating tours, approvals, readiness updates, and status checks across systems.","Staff balance occupancy goals, asset condition, pricing power, and relationship context when deciding terms.","Negotiation details, readiness notes, and exceptions live in email, call logs, and side trackers.","Typical stacks combine Fund Administration and Accounting, Property Management System, Real Estate Asset Management, CRM; representative software in market today includes Allvue Fund Accounting, Aladdin Accounting, SS&C, SimCorp, State Street Alpha, Clearwater.","The workflow spans commercial negotiation, physical readiness, and revenue optimization rather than a single clean transaction. It typically spans 1 operating-system context and 4 systems-of-record categories.",Legacy Architecture,Allvue Fund Accounting; Aladdin Accounting; SS&C; SimCorp; State Street Alpha; Clearwater; Yardi; RealPage,Allvue Fund Accounting: https://www.allvuesystems.com/solutions/fund-accounting/; Aladdin Accounting: https://www.blackrock.com/aladdin/platforms/products/aladdin-accounting; Yardi: https://www.yardi.com/solution/property-management-software/; Salesforce CRM: https://www.salesforce.com/crm/; Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617,Complete,
Lease Acquisition and Renewal,"Access, Intake, and Contracting",Asset Utilization and Lease Management,Housing,1,Keep monetizable capacity occupied by winning the right tenants or reservations and preserving renewal continuity.,"A unit, asset, or capacity block must be leased, renewed, or moved through the reservation pipeline.",Capacity is committed on acceptable terms and downstream readiness or billing actions are triggered.,leasing or reservations staff; prospect or tenant; property or asset manager; operations support,"What terms, concessions, or pricing are acceptable for this capacity?; Should the existing relationship be renewed, repriced, or replaced?; What readiness or turnover work must occur before commitment?",prospect management -> approval or contracting; signed commitment -> property or operations team; live lease or reservation -> billing and service teams,Maintenance Management | Property Management System | CRM,"Vacancy, poor renewal timing, weak concessions discipline, and slow readiness cycles directly reduce yield.","Leasing teams spend time coordinating tours, approvals, readiness updates, and status checks across systems.","Staff balance occupancy goals, asset condition, pricing power, and relationship context when deciding terms.","Negotiation details, readiness notes, and exceptions live in email, call logs, and side trackers.","Typical stacks combine Maintenance Management, Property Management System, CRM; representative software in market today includes IFS Enterprise Asset Management, Yardi, ServiceTitan, Oracle Utilities, IFS, RealPage.","The workflow spans commercial negotiation, physical readiness, and revenue optimization rather than a single clean transaction. It typically spans 1 operating-system context and 3 systems-of-record categories.",Legacy Architecture,IFS Enterprise Asset Management; Yardi; ServiceTitan; Oracle Utilities; IFS; RealPage; AppFolio; Entrata,IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; Salesforce CRM: https://www.salesforce.com/crm/; Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617,Complete,
Load Forecasting and Dispatch,Network and Transportation Operations,Network Infrastructure Operations,Utilities,1,"Assign the right asset, route, crew, or carrier to the job while balancing service, utilization, and cost.",Demand is ready to be moved or serviced across a network and requires a dispatch decision.,"The movement or service plan is issued with owners, route, and timing visible to the network.","dispatcher or planner; carrier, crew, or field operator; operations control; customer or receiving party","Which asset, route, or partner should carry the work?; What tradeoff between service, cost, and utilization is acceptable?; What exception requires re-plan or escalation now?","demand intake -> dispatch control; dispatch plan -> driver, crew, or carrier; movement status -> customer service, billing, or recovery desk",Maintenance Management | Utility Operations and Billing | Industrial Automation and SCADA | ERP,"The biggest leaks are empty capacity, bad routing, detention, and poor network utilization.","Dispatchers lose time chasing status, making call-based updates, and rerouting around late disruptions.",Controllers interpret service priorities and real-world constraints faster than static optimization models.,"Carrier calls, texts, and manual route notes remain central to live execution.","Typical stacks combine Maintenance Management, Utility Operations and Billing, Industrial Automation and SCADA, ERP; representative software in market today includes IFS Enterprise Asset Management, Yardi, ServiceTitan, Oracle Utilities, IFS, Oracle Utilities Customer to Meter.","Network state changes in real time and often depends on partner data that is late, partial, or nonstandard. It typically spans 1 operating-system context and 4 systems-of-record categories.",Technical,IFS Enterprise Asset Management; Yardi; ServiceTitan; Oracle Utilities; IFS; Oracle Utilities Customer to Meter; SAP; GE Vernova,IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; Oracle Utilities Customer to Meter: https://docs.oracle.com/en/industries/energy-water/advanced-meter/index.html; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Load Intake and Booking,"Access, Intake, and Contracting",Transportation Network Operations,Other transportation and support activities,1,Convert finite capacity into confirmed bookings or admissions while preserving pricing discipline and customer experience.,"A guest, attendee, shipper, or customer requests access to a dated capacity slot.","Capacity is reserved, priced, and confirmed with downstream service or fulfillment teams informed.",reservation or ticketing agent; customer; revenue or capacity manager; operations team,"What inventory should be offered at what price and under what rules?; How should holds, cancellations, and over-capacity risk be managed?; What exception needs approval or manual intervention?","customer request -> booking or ticketing system; confirmed reservation -> venue, hotel, or operations staff; completed stay or event -> settlement or service follow-up",Transportation Management System | Fleet Telematics and Visibility | ERP,"Leakage comes from spoilage, bad holds, channel mix mistakes, refunds, and poor yield control.","Teams burn time resolving inventory conflicts, special requests, and distribution-channel mismatches.","Operators still decide how to recover service, override inventory, and handle edge-case customers.","Special handling moves through calls, guest notes, and partner channels outside the clean reservation record.","Typical stacks combine Transportation Management System, Fleet Telematics and Visibility, ERP; representative software in market today includes project44, McLeod, Oracle Transportation Management, Descartes, CargoWise, Samsara.","Inventory can be digitized, but exception-heavy capacity control and live service recovery still depend on people. It typically spans 1 operating-system context and 3 systems-of-record categories.",Technical,project44; McLeod; Oracle Transportation Management; Descartes; CargoWise; Samsara; Trimble Transportation; SAP Cloud ERP,project44: https://www.project44.com/platform/tms/; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Logistics and Channel Fulfillment,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations | Process Manufacturing and Throughput Control,"Motor vehicles, bodies and trailers, and parts | Machinery | Computer and electronic products | Plastics and rubber products | Paper products",5,Route and fulfill demand from the right inventory or capacity source with accurate status and exception control.,"An order is confirmed and needs allocation, release, shipment, or return handling.",The order is fulfilled or closed with any exception documented for downstream billing or service teams.,order management team; warehouse or operations staff; customer or channel partner; transport or service partner,"Which inventory, facility, or path should fulfill the order?; What exception requires split shipment, reroute, substitution, or hold?; When is the order complete enough to invoice or close?","order capture -> allocation or warehouse team; warehouse or operations -> transportation or customer; completed order -> billing, returns, or support team",Manufacturing Execution System | Supply Chain Planning | Maintenance Management | PLM and Engineering Design | Industrial Automation and SCADA | Shop Floor Control and Quality | ERP,"Leakage shows up in split orders, mispicks, returns, expedites, and fulfillment promises that outrun actual capacity.","Teams chase inventory truth, release status, and downstream transport updates across systems.","Operators still decide how to recover shortages, prioritize customers, and manage substitutions.","Exception handling often happens through email, calls, and local trackers outside the formal order flow.","Typical stacks combine Manufacturing Execution System, Supply Chain Planning, Maintenance Management, PLM and Engineering Design, and adjacent specialist systems; representative software in market today includes Siemens Opcenter, Rockwell FactoryTalk MES, Plex, Epicor, Rockwell FactoryTalk, Blue Yonder Integrated Business Planning.","Order orchestration spans inventory, warehouse, transport, and customer systems with different clocks and constraints. It typically spans 2 operating-system contexts and 7 systems-of-record categories.",Legacy Architecture,Siemens Opcenter; Rockwell FactoryTalk MES; Plex; Epicor; Rockwell FactoryTalk; Blue Yonder Integrated Business Planning; Kinaxis; o9 Solutions,Siemens Opcenter: https://www.siemens.com/en-us/products/opcenter/; Rockwell FactoryTalk MES: https://www.rockwellautomation.com/en-us/products/software/factorytalk/operationsuite/mes.html; Blue Yonder Integrated Business Planning: https://blueyonder.com/solutions/supply-chain-planning/integrated-business-planning; Kinaxis: https://www.kinaxis.com/en; o9 Solutions: https://o9solutions.com/; IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Loyalty and Settlement Accounting,Finance and Revenue Operations,Transportation Network Operations,Air transportation,1,"Close the loop between source activity, cash movement, and the official financial record with defensible reconciliation.","Transactions from multiple sources must be balanced, settled, or closed for a period or event.","Balances are reconciled, exceptions are documented, and the official close or settlement state is updated.",accounting or settlement analyst; operations source owner; treasury or payments partner; manager or reviewer,What is the authoritative source when records disagree?; Which exception can be auto-cleared versus requiring investigation?; What threshold is material enough to escalate before close?,"source system -> reconciliation or settlement team; unmatched item -> operations, treasury, or counterparty; resolved balance -> reporting and management review",Airline Operations and Reservations | Revenue Management Platform | ERP,"Unmatched items, late close, duplicate settlements, and poor exception control create hidden leakage and working-capital drag.","Analysts spend time matching records manually, collecting support, and rebuilding audit trails.","Materiality, root cause, and acceptable resolution still depend on experienced finance staff.","Exception triage almost always moves into spreadsheets, email, and bank or partner portals.","Typical stacks combine Airline Operations and Reservations, Revenue Management Platform, ERP; representative software in market today includes Sabre, Amadeus, Navitaire, Lufthansa Systems, Oracle OPERA, SAP Cloud ERP.",Reconciliation spans asynchronous systems and low-standardization edge cases that resist full automation. It typically spans 1 operating-system context and 3 systems-of-record categories.,Legacy Architecture,Sabre; Amadeus; Navitaire; Lufthansa Systems; Oracle OPERA; SAP Cloud ERP; Acumatica Cloud ERP; Oracle,SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Loyalty and Settlement Management,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations","Amusements, gambling, and recreation industries",1,"Close the loop between source activity, cash movement, and the official financial record with defensible reconciliation.","Transactions from multiple sources must be balanced, settled, or closed for a period or event.","Balances are reconciled, exceptions are documented, and the official close or settlement state is updated.",accounting or settlement analyst; operations source owner; treasury or payments partner; manager or reviewer,What is the authoritative source when records disagree?; Which exception can be auto-cleared versus requiring investigation?; What threshold is material enough to escalate before close?,"source system -> reconciliation or settlement team; unmatched item -> operations, treasury, or counterparty; resolved balance -> reporting and management review",POS and Payments | Ticketing and Venue Management | Revenue Management Platform | CRM,"Unmatched items, late close, duplicate settlements, and poor exception control create hidden leakage and working-capital drag.","Analysts spend time matching records manually, collecting support, and rebuilding audit trails.","Materiality, root cause, and acceptable resolution still depend on experienced finance staff.","Exception triage almost always moves into spreadsheets, email, and bank or partner portals.","Typical stacks combine POS and Payments, Ticketing and Venue Management, Revenue Management Platform, CRM; representative software in market today includes Toast POS, Square, Oracle MICROS, NCR Voyix, Tessitura, Ticketmaster/Live Nation.",Reconciliation spans asynchronous systems and low-standardization edge cases that resist full automation. It typically spans 1 operating-system context and 4 systems-of-record categories.,Legacy Architecture,Toast POS; Square; Oracle MICROS; NCR Voyix; Tessitura; Ticketmaster/Live Nation; AudienceView; Accesso,Toast POS: https://pos.toasttab.com/products/point-of-sale; Tessitura: https://www.tessitura.com/en/Features/Ticketing-Admissions; Salesforce CRM: https://www.salesforce.com/crm/; Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617,Complete,
Maintenance and Guest Service,Customer and Experience Operations,"Venue, Hospitality, and Attendance Operations",Accommodation,1,"Resolve customer issues quickly without sacrificing margin, service quality, or downstream operational clarity.","A customer asks for support, raises an issue, or requires live service intervention.",The issue is resolved or routed correctly and the account or service record reflects the outcome.,support or service agent; customer; operations team; account owner,"What is the true root cause and who owns it?; Should the issue be fixed, compensated, escalated, or monitored?; What follow-up best protects future retention?","customer-facing channel -> support queue; support -> operations, field, or finance; resolution -> account owner or retention motion",Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP,"Repeat contacts, credits, field callbacks, and unresolved issues raise support cost and churn risk.",Agents and operations teams waste time on status chasing and duplicate handoffs.,"Good service recovery depends on empathy, prioritization, and contextual interpretation.","The most important context often lives in conversations, notes, and side chats rather than system fields.","Typical stacks combine Property Management System, Reservation and Distribution System, Revenue Management Platform, ERP; representative software in market today includes Yardi, RealPage, AppFolio, Entrata, Mews, Cloudbeds.","Support flows cross channels and teams, and the edge cases that matter most remain unstructured. It typically spans 1 operating-system context and 4 systems-of-record categories.",Organizational,Yardi; RealPage; AppFolio; Entrata; Mews; Cloudbeds; Oracle OPERA; Amadeus,Yardi: https://www.yardi.com/solution/property-management-software/; Mews: https://www.mews.com/en/hospitality-management-software; Cloudbeds: https://www.cloudbeds.com/property-management-system/; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Maintenance and Turnaround Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Petroleum and coal products,1,"Restore or preserve asset readiness with the right work orders, parts, sequencing, and outage discipline.","An asset reaches a maintenance threshold, fails, turns over, or must be prepared for the next use.",The asset returns to service or readiness with maintenance history and follow-up actions captured.,maintenance planner; technician; operations owner; parts or contractor support,"What work is urgent now versus deferrable?; What outage, turnover, or turnaround scope is required to restore readiness?; What issue should be repaired, monitored, or replaced entirely?",operations signal -> maintenance planning; planned work -> technicians or contractors; returned asset -> operations and finance history,Maintenance Management | Supply Chain Planning | Industrial Automation and SCADA | ERP,"Leakage comes from downtime, repeat failures, poor work scope, and weak turnover discipline.","Teams chase parts, permits, technician availability, and asset-history context.","Maintenance leaders still assess condition, risk, and repair tradeoffs beyond simple rules.","Readiness and outage details are frequently tracked in calls, notes, and local sheets outside the CMMS.","Typical stacks combine Maintenance Management, Supply Chain Planning, Industrial Automation and SCADA, ERP; representative software in market today includes IFS Enterprise Asset Management, Yardi, ServiceTitan, Oracle Utilities, IFS, Blue Yonder Integrated Business Planning.","Maintenance systems track work orders, but true readiness still depends on fragmented context and field judgment. It typically spans 1 operating-system context and 4 systems-of-record categories.",Legacy Architecture,IFS Enterprise Asset Management; Yardi; ServiceTitan; Oracle Utilities; IFS; Blue Yonder Integrated Business Planning; Kinaxis; o9 Solutions,IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; Blue Yonder Integrated Business Planning: https://blueyonder.com/solutions/supply-chain-planning/integrated-business-planning; Kinaxis: https://www.kinaxis.com/en; o9 Solutions: https://o9solutions.com/; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Margin and Shrink Management,Finance and Revenue Operations,Retail and Service Commerce,Food and beverage stores,1,"Turn completed work or contractual obligation into clean bills, timely collections, and accurate receivable records.","A billable event, service completion, or recurring obligation reaches the point of invoicing or follow-up.","The bill is issued, the receivable is updated, and collection or exception status is clear.",billing specialist; collections or revenue-cycle staff; source operations team; customer or payer,"Is the billable record complete enough to issue or submit?; What denial, dispute, or delinquency path should be pursued next?; When should the item be escalated, adjusted, or written down?","source operations -> billing or coding team; billing -> customer, payer, or clearing partner; open item -> collections, finance, or account owner",POS and Payments | Supply Chain Planning | Warehouse Management System | ERP,"Missed charges, denial cycles, underbilling, and slow cash application are the primary leakage points.","Teams repeatedly reconcile source evidence, payer rules, and customer-specific exceptions.","Operators interpret contract nuance, collection strategy, and what evidence is enough to close the item.","Collections context and exception history often live in email, payer portals, and spreadsheets outside the core system.","Typical stacks combine POS and Payments, Supply Chain Planning, Warehouse Management System, ERP; representative software in market today includes Toast POS, Square, Oracle MICROS, NCR Voyix, Blue Yonder Integrated Business Planning, Kinaxis.","Automation handles the clean path, but exceptions are driven by messy upstream data and contract interpretation. It typically spans 1 operating-system context and 4 systems-of-record categories.",Legacy Architecture,Toast POS; Square; Oracle MICROS; NCR Voyix; Blue Yonder Integrated Business Planning; Kinaxis; o9 Solutions; Blue Yonder,Toast POS: https://pos.toasttab.com/products/point-of-sale; Blue Yonder Integrated Business Planning: https://blueyonder.com/solutions/supply-chain-planning/integrated-business-planning; Kinaxis: https://www.kinaxis.com/en; o9 Solutions: https://o9solutions.com/; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
"Margin, Safety, and Emissions Reporting","Risk, Compliance, and Reporting",Process Manufacturing and Throughput Control,Petroleum and coal products,1,"Prove that output, operations, or service meet required standards before release or continued execution.","A production step, service checkpoint, or formal control requirement calls for inspection or compliance review.","The item is passed, failed, quarantined, or escalated with evidence attached to the record.",quality or compliance owner; operator or frontline staff; manager; external customer or regulator,Does the item meet the release threshold?; What deviation is acceptable versus requiring stop-work or escalation?; What corrective action and evidence are necessary?,operations -> quality or compliance team; quality finding -> rework or management action; released item -> downstream fulfillment or reporting,Maintenance Management | Supply Chain Planning | Industrial Automation and SCADA | ERP,"Failures, recalls, rework, and excess inspection labor are the major leakage points.","Teams repeat data entry, collect evidence manually, and wait on disposition decisions.","Inspectors still interpret severity, traceability gaps, and acceptable release decisions.","Evidence often sits in attachments, lab systems, spreadsheets, and manual checklists outside the main record.","Typical stacks combine Maintenance Management, Supply Chain Planning, Industrial Automation and SCADA, ERP; representative software in market today includes IFS Enterprise Asset Management, Yardi, ServiceTitan, Oracle Utilities, IFS, Blue Yonder Integrated Business Planning.","Standards are formal, but real-world deviations and root-cause interpretation remain human-heavy. It typically spans 1 operating-system context and 4 systems-of-record categories.",Regulatory,IFS Enterprise Asset Management; Yardi; ServiceTitan; Oracle Utilities; IFS; Blue Yonder Integrated Business Planning; Kinaxis; o9 Solutions,IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; Blue Yonder Integrated Business Planning: https://blueyonder.com/solutions/supply-chain-planning/integrated-business-planning; Kinaxis: https://www.kinaxis.com/en; o9 Solutions: https://o9solutions.com/; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
"Marketing, Hedging, and Program Reporting",Finance and Revenue Operations,Field Production and Resource Extraction,Farms,1,"Turn completed work or contractual obligation into clean bills, timely collections, and accurate receivable records.","A billable event, service completion, or recurring obligation reaches the point of invoicing or follow-up.","The bill is issued, the receivable is updated, and collection or exception status is clear.",billing specialist; collections or revenue-cycle staff; source operations team; customer or payer,"Is the billable record complete enough to issue or submit?; What denial, dispute, or delinquency path should be pursued next?; When should the item be escalated, adjusted, or written down?","source operations -> billing or coding team; billing -> customer, payer, or clearing partner; open item -> collections, finance, or account owner",Farm Management Platform | Precision Agriculture and Telematics,"Missed charges, denial cycles, underbilling, and slow cash application are the primary leakage points.","Teams repeatedly reconcile source evidence, payer rules, and customer-specific exceptions.","Operators interpret contract nuance, collection strategy, and what evidence is enough to close the item.","Collections context and exception history often live in email, payer portals, and spreadsheets outside the core system.","Typical stacks combine Farm Management Platform, Precision Agriculture and Telematics; representative software in market today includes John Deere Operations Center, Climate FieldView, Granular, AgLeader, Trimble Agriculture.","Automation handles the clean path, but exceptions are driven by messy upstream data and contract interpretation. It typically spans 1 operating-system context and 2 systems-of-record categories.",Legacy Architecture,John Deere Operations Center; Climate FieldView; Granular; AgLeader; Trimble Agriculture,,Complete,
Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control | Product Manufacturing and Lifecycle Operations,Food and beverage and tobacco products | Chemical products | Petroleum and coal products | Primary metals | Plastics and rubber products | Paper products,6,Secure the right materials or supplies at the right time and cost without destabilizing downstream operations.,"Planned or reactive demand requires a purchase, replenishment, or sourcing action.","A committed supply action is placed and visible to receiving, planning, and operating teams.",buyer; planner; supplier; operations or inventory owner,"What quantity and timing should be ordered now?; Which source best fits the current cost, quality, and service tradeoff?; What shortage or exception requires escalation?",demand plan -> procurement; purchase action -> supplier; confirmed supply -> receiving or execution teams,Maintenance Management | Manufacturing Execution System | Supply Chain Planning | Industrial Automation and SCADA | Shop Floor Control and Quality | PLM and Engineering Design | ERP,"Leakage appears through rush buys, stockouts, overbuying, and weak term control.","Buyers spend time chasing confirmations, comparing suppliers, and repairing plan mismatches.",Source selection and expedites still rely on local knowledge and changing supplier behavior.,Exception discussions and commitments often move into email and supplier portals beyond the ERP trail.,"Typical stacks combine Maintenance Management, Manufacturing Execution System, Supply Chain Planning, Industrial Automation and SCADA, and adjacent specialist systems; representative software in market today includes IFS Enterprise Asset Management, Yardi, ServiceTitan, Oracle Utilities, IFS, Siemens Opcenter.","Procurement tools are strong on structured buying, but supply volatility and exception-driven replenishment remain stubborn. It typically spans 2 operating-system contexts and 7 systems-of-record categories.",Economic,IFS Enterprise Asset Management; Yardi; ServiceTitan; Oracle Utilities; IFS; Siemens Opcenter; Rockwell FactoryTalk MES; Plex,IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; Siemens Opcenter: https://www.siemens.com/en-us/products/opcenter/; Rockwell FactoryTalk MES: https://www.rockwellautomation.com/en-us/products/software/factorytalk/operationsuite/mes.html; Blue Yonder Integrated Business Planning: https://blueyonder.com/solutions/supply-chain-planning/integrated-business-planning; Kinaxis: https://www.kinaxis.com/en; o9 Solutions: https://o9solutions.com/; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Matter Intake and Conflict Review,"Access, Intake, and Contracting",Professional Services and Matter Management,Legal services,1,"Admit qualified demand into the operating system with the minimum information, approvals, and commercial terms required to proceed.","A new prospect, participant, counterparty, or service request enters the funnel.","A qualified record, schedule, or agreement is created and handed to downstream planning or delivery teams.",frontline intake or sales team; customer or participant; operations coordinator; approver or risk owner,"Is the request qualified and in policy?; What terms, slot, or service level should be offered?; Can the work proceed now or does it require more data or approval?",frontline intake -> operations scheduling; sales or intake -> finance or risk review; approved request -> delivery owner,Document Management | Practice Management and Billing | CRM,"Poor qualification, pricing errors, avoidable no-shows, and weak contract hygiene create leakage before execution starts.","Teams chase missing information, approvals, and schedule availability across email, phone, and shared documents.","Humans still arbitrate exceptions, fit, urgency, and risk tolerance when intake data is incomplete or context is changing.","Critical context lives in inboxes, call notes, PDFs, and spreadsheets before the final system record is updated.","Typical stacks combine Document Management, Practice Management and Billing, CRM; representative software in market today includes iManage, NetDocuments, Litera, Thomson Reuters Elite, Clio, Salesforce CRM.","Structured fields handle the routine path, but real intake varies by exception, policy nuance, and local operating context. It typically spans 1 operating-system context and 3 systems-of-record categories.",Organizational,iManage; NetDocuments; Litera; Thomson Reuters Elite; Clio; Salesforce CRM; Microsoft Dynamics 365 Sales; HubSpot CRM,Salesforce CRM: https://www.salesforce.com/crm/; Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617,Complete,
Medication and Compliance Management,Clinical and Case Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,1,"Maintain safe medication, compliance, and follow-up status while keeping the longitudinal record current.","Medication adherence, refill, or compliance status requires active review or intervention.","Medication status is updated, the next required action is completed, and exceptions are escalated appropriately.",clinician or care manager; patient or resident; pharmacy partner; compliance or quality reviewer,"Is the patient or resident compliant enough to stay on the current plan?; What issue requires outreach, refill, or escalation?; What documentation is required to support the action taken?","care team -> pharmacy or medication partner; medication issue -> supervising clinician; resolved status -> billing, quality, or record team",EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,"Leakage appears through avoidable readmissions, failed adherence, and unbillable documentation gaps.","Teams spend time on outreach, refill coordination, and manual follow-up loops.","Medication decisions still depend on severity, tolerance, behavior, and contextual risk.","Call logs, refill messages, and compliance notes often live outside the structured medication record.","Typical stacks combine EHR and Care Management, Revenue Cycle Management, HCM / Workforce Management; representative software in market today includes Epic, Oracle Health EHR, Meditech, PointClickCare, athenahealth RCM, R1 RCM.","Medication management is highly regulated and behavior-heavy, so closed-loop automation remains incomplete. It typically spans 1 operating-system context and 3 systems-of-record categories.",Behavioral,Epic; Oracle Health EHR; Meditech; PointClickCare; athenahealth RCM; R1 RCM; Optum; Workday Workforce Management,Epic: https://www.epic.com/; Oracle Health EHR: https://www.oracle.com/health/clinical-suite/electronic-health-record/; athenahealth RCM: https://www.athenahealth.com/solutions/revenue-cycle-management; R1 RCM: https://www.r1rcm.com/enterprise-partnerships; Workday Workforce Management: https://forms.workday.com/en-us/quick-demos/managing-your-workforce-with-workday-demo/form.html?step=step1_default; Deputy: https://www.deputy.com/; Legion: https://legion.co/en-gb/products/,Complete,
Merchandising and Assortment Planning,Planning and Allocation,Retail and Service Commerce,Other retail | Food and beverage stores | General merchandise stores,3,"Place inventory and assortment into the right location, age bucket, or channel before demand crystallizes.","Inventory, assortment, or aging conditions require an allocation or reallocation decision.",Inventory is assigned to the right destination with downstream replenishment and commercial actions aligned.,inventory planner; merchant or commercial lead; warehouse or store operations; finance partner,"Where should inventory sit given expected demand and margin?; What stock should be accelerated, protected, or marked down?; When is reallocation worth the operational disruption?","demand and stock signals -> inventory planning; allocation decision -> store, warehouse, or channel team; execution outcome -> pricing and finance review",Order Management System | Supply Chain Planning | POS and Payments | Warehouse Management System | Commerce Platform | ERP,"Misallocation drives stockouts, markdowns, carrying cost, and lost working capital productivity.",Teams spend time reconciling stock truth and coordinating transfers or aged inventory action.,Operators still judge local demand and whether aged stock can truly move through the planned channel.,Inventory decisions are often managed in spreadsheets and store communications outside the planning system.,"Typical stacks combine Order Management System, Supply Chain Planning, POS and Payments, Warehouse Management System, and adjacent specialist systems; representative software in market today includes Manhattan ActiveOrder, Manhattan Associates, Salesforce Commerce Cloud, Oracle Retail, Blue Yonder Integrated Business Planning, Kinaxis.","System optimization struggles when demand is local, seasonal, and only partly observable in real time. It typically spans 1 operating-system context and 6 systems-of-record categories.",Technical,Manhattan ActiveOrder; Manhattan Associates; Salesforce Commerce Cloud; Oracle Retail; Blue Yonder Integrated Business Planning; Kinaxis; o9 Solutions; Blue Yonder,Manhattan ActiveOrder: https://www.manh.com/solutions/omnichannel-software-solutions/order-management-system; Blue Yonder Integrated Business Planning: https://blueyonder.com/solutions/supply-chain-planning/integrated-business-planning; Kinaxis: https://www.kinaxis.com/en; o9 Solutions: https://o9solutions.com/; Toast POS: https://pos.toasttab.com/products/point-of-sale; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
